Id	GroupId[1]	GroupPrefab[1]
1	1	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike01.prefab
2	2	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike02_1.prefab
3	3	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike03_1.prefab
4	4	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike04_1.prefab
5	5	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike05.prefab
6	6	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike01_1.prefab
7	7	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike02_2.prefab
8	8	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike03_3.prefab
9	9	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike04_2.prefab
10	10	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLike05.prefab
