Id	RobotId	Star	ConsumeCounts[1]	ConsumeCounts[2]	FightEventIds[1]	FightEventIds[2]
20101	20101	1	50	500		
20102	20102	2	80	800		
20103	20103	3	100	1000		
20104	20104	4	110	1100		
20105	20105	5	120	1200		
20106	20106	6	130	1300		
20107	20107	7	150	1500		
20108	20108	8	170	1700		
20109	20109	9	180	1800		
20110	20110	10	190	1900		
20111	20111	11	200	2000		
20112	20112	12	220	2200		
20113	20113	13	240	2400		
20114	20114	14	260	2600		
20115	20115	15	280	2800		
20116	20116	16	300	3000		
20117	20117	17	320	3200		
20118	20118	18	350	3500		
20119	20119	19	390	3900		
20120	20120	20	400	4000		
20121	20121	21	420	4200		
20122	20122	22	440	4400		
20123	20123	23	470	4700		
20124	20124	24	500	5000		
20125	20125	25	530	5300		
20126	20126	26	560	5600		
20127	20127	27	590	5900		
20201	20201	1	50	500		
20202	20202	2	80	800		
20203	20203	3	100	1000		
20204	20204	4	110	1100		
20205	20205	5	120	1200		
20206	20206	6	130	1300		
20207	20207	7	150	1500		
20208	20208	8	170	1700		
20209	20209	9	180	1800		
20210	20210	10	190	1900		
20211	20211	11	200	2000		
20212	20212	12	220	2200		
20213	20213	13	240	2400		
20214	20214	14	260	2600		
20215	20215	15	280	2800		
20216	20216	16	300	3000		
20217	20217	17	320	3200		
20218	20218	18	350	3500		
20219	20219	19	390	3900		
20220	20220	20	400	4000		
20221	20221	21	420	4200		
20222	20222	22	440	4400		
20223	20223	23	470	4700		
20224	20224	24	500	5000		
20225	20225	25	530	5300		
20226	20226	26	560	5600		
20227	20227	27	590	5900		
20301	20301	1	50	500		
20302	20302	2	80	800		
20303	20303	3	100	1000		
20304	20304	4	110	1100		
20305	20305	5	120	1200		
20306	20306	6	130	1300		
20307	20307	7	150	1500		
20308	20308	8	170	1700		
20309	20309	9	180	1800		
20310	20310	10	190	1900		
20311	20311	11	200	2000		
20312	20312	12	220	2200		
20313	20313	13	240	2400		
20314	20314	14	260	2600		
20315	20315	15	280	2800		
20316	20316	16	300	3000		
20317	20317	17	320	3200		
20318	20318	18	350	3500		
20319	20319	19	390	3900		
20320	20320	20	400	4000		
20321	20321	21	420	4200		
20322	20322	22	440	4400		
20323	20323	23	470	4700		
20324	20324	24	500	5000		
20325	20325	25	530	5300		
20326	20326	26	560	5600		
20327	20327	27	590	5900		
20401	20401	1	50	500		
20402	20402	2	80	800		
20403	20403	3	100	1000		
20404	20404	4	110	1100		
20405	20405	5	120	1200		
20406	20406	6	130	1300		
20407	20407	7	150	1500		
20408	20408	8	170	1700		
20409	20409	9	180	1800		
20410	20410	10	190	1900		
20411	20411	11	200	2000		
20412	20412	12	220	2200		
20413	20413	13	240	2400		
20414	20414	14	260	2600		
20415	20415	15	280	2800		
20416	20416	16	300	3000		
20417	20417	17	320	3200		
20418	20418	18	350	3500		
20419	20419	19	390	3900		
20420	20420	20	400	4000		
20421	20421	21	420	4200		
20422	20422	22	440	4400		
20423	20423	23	470	4700		
20424	20424	24	500	5000		
20425	20425	25	530	5300		
20426	20426	26	560	5600		
20427	20427	27	590	5900		
20501	20501	1	50	500		
20502	20502	2	80	800		
20503	20503	3	100	1000		
20504	20504	4	110	1100		
20505	20505	5	120	1200		
20506	20506	6	130	1300		
20507	20507	7	150	1500		
20508	20508	8	170	1700		
20509	20509	9	180	1800		
20510	20510	10	190	1900		
20511	20511	11	200	2000		
20512	20512	12	220	2200		
20513	20513	13	240	2400		
20514	20514	14	260	2600		
20515	20515	15	280	2800		
20516	20516	16	300	3000		
20517	20517	17	320	3200		
20518	20518	18	350	3500		
20519	20519	19	390	3900		
20520	20520	20	400	4000		
20521	20521	21	420	4200		
20522	20522	22	440	4400		
20523	20523	23	470	4700		
20524	20524	24	500	5000		
20525	20525	25	530	5300		
20526	20526	26	560	5600		
20527	20527	27	590	5900		
20601	20601	1	50	500		
20602	20602	2	80	800		
20603	20603	3	100	1000		
20604	20604	4	110	1100		
20605	20605	5	120	1200		
20606	20606	6	130	1300		
20607	20607	7	150	1500		
20608	20608	8	170	1700		
20609	20609	9	180	1800		
20610	20610	10	190	1900		
20611	20611	11	200	2000		
20612	20612	12	220	2200		
20613	20613	13	240	2400		
20614	20614	14	260	2600		
20615	20615	15	280	2800		
20616	20616	16	300	3000		
20617	20617	17	320	3200		
20618	20618	18	350	3500		
20619	20619	19	390	3900		
20620	20620	20	400	4000		
20621	20621	21	420	4200		
20622	20622	22	440	4400		
20623	20623	23	470	4700		
20624	20624	24	500	5000		
20625	20625	25	530	5300		
20626	20626	26	560	5600		
20627	20627	27	590	5900		
20701	20701	1	50	500		
20702	20702	2	80	800		
20703	20703	3	100	1000		
20704	20704	4	110	1100		
20705	20705	5	120	1200		
20706	20706	6	130	1300		
20707	20707	7	150	1500		
20708	20708	8	170	1700		
20709	20709	9	180	1800		
20710	20710	10	190	1900		
20711	20711	11	200	2000		
20712	20712	12	220	2200		
20713	20713	13	240	2400		
20714	20714	14	260	2600		
20715	20715	15	280	2800		
20716	20716	16	300	3000		
20717	20717	17	320	3200		
20718	20718	18	350	3500		
20719	20719	19	390	3900		
20720	20720	20	400	4000		
20721	20721	21	420	4200		
20722	20722	22	440	4400		
20723	20723	23	470	4700		
20724	20724	24	500	5000		
20725	20725	25	530	5300		
20726	20726	26	560	5600		
20727	20727	27	590	5900		
20801	20801	1	50	500		
20802	20802	2	80	800		
20803	20803	3	100	1000		
20804	20804	4	110	1100		
20805	20805	5	120	1200		
20806	20806	6	130	1300		
20807	20807	7	150	1500		
20808	20808	8	170	1700		
20809	20809	9	180	1800		
20810	20810	10	190	1900		
20811	20811	11	200	2000		
20812	20812	12	220	2200		
20813	20813	13	240	2400		
20814	20814	14	260	2600		
20815	20815	15	280	2800		
20816	20816	16	300	3000		
20817	20817	17	320	3200		
20818	20818	18	350	3500		
20819	20819	19	390	3900		
20820	20820	20	400	4000		
20821	20821	21	420	4200		
20822	20822	22	440	4400		
20823	20823	23	470	4700		
20824	20824	24	500	5000		
20825	20825	25	530	5300		
20826	20826	26	560	5600		
20827	20827	27	590	5900		
20901	20901	1	50	500		
20902	20902	2	80	800		
20903	20903	3	100	1000		
20904	20904	4	110	1100		
20905	20905	5	120	1200		
20906	20906	6	130	1300		
20907	20907	7	150	1500		
20908	20908	8	170	1700		
20909	20909	9	180	1800		
20910	20910	10	190	1900		
20911	20911	11	200	2000		
20912	20912	12	220	2200		
20913	20913	13	240	2400		
20914	20914	14	260	2600		
20915	20915	15	280	2800		
20916	20916	16	300	3000		
20917	20917	17	320	3200		
20918	20918	18	350	3500		
20919	20919	19	390	3900		
20920	20920	20	400	4000		
20921	20921	21	420	4200		
20922	20922	22	440	4400		
20923	20923	23	470	4700		
20924	20924	24	500	5000		
20925	20925	25	530	5300		
20926	20926	26	560	5600		
20927	20927	27	590	5900		
21001	21001	1	50	500		
21002	21002	2	80	800		
21003	21003	3	100	1000		
21004	21004	4	110	1100		
21005	21005	5	120	1200		
21006	21006	6	130	1300		
21007	21007	7	150	1500		
21008	21008	8	170	1700		
21009	21009	9	180	1800		
21010	21010	10	190	1900		
21011	21011	11	200	2000		
21012	21012	12	220	2200		
21013	21013	13	240	2400		
21014	21014	14	260	2600		
21015	21015	15	280	2800		
21016	21016	16	300	3000		
21017	21017	17	320	3200		
21018	21018	18	350	3500		
21019	21019	19	390	3900		
21020	21020	20	400	4000		
21021	21021	21	420	4200		
21022	21022	22	440	4400		
21023	21023	23	470	4700		
21024	21024	24	500	5000		
21025	21025	25	530	5300		
21026	21026	26	560	5600		
21027	21027	27	590	5900		
21101	21101	1	50	500		
21102	21102	2	80	800		
21103	21103	3	100	1000		
21104	21104	4	110	1100		
21105	21105	5	120	1200		
21106	21106	6	130	1300		
21107	21107	7	150	1500		
21108	21108	8	170	1700		
21109	21109	9	180	1800		
21110	21110	10	190	1900		
21111	21111	11	200	2000		
21112	21112	12	220	2200		
21113	21113	13	240	2400		
21114	21114	14	260	2600		
21115	21115	15	280	2800		
21116	21116	16	300	3000		
21117	21117	17	320	3200		
21118	21118	18	350	3500		
21119	21119	19	390	3900		
21120	21120	20	400	4000		
21121	21121	21	420	4200		
21122	21122	22	440	4400		
21123	21123	23	470	4700		
21124	21124	24	500	5000		
21125	21125	25	530	5300		
21126	21126	26	560	5600		
21127	21127	27	590	5900		
21201	21201	1	50	500		
21202	21202	2	80	800		
21203	21203	3	100	1000		
21204	21204	4	110	1100		
21205	21205	5	120	1200		
21206	21206	6	130	1300		
21207	21207	7	150	1500		
21208	21208	8	170	1700		
21209	21209	9	180	1800		
21210	21210	10	190	1900		
21211	21211	11	200	2000		
21212	21212	12	220	2200		
21213	21213	13	240	2400		
21214	21214	14	260	2600		
21215	21215	15	280	2800		
21216	21216	16	300	3000		
21217	21217	17	320	3200		
21218	21218	18	350	3500		
21219	21219	19	390	3900		
21220	21220	20	400	4000		
21221	21221	21	420	4200		
21222	21222	22	440	4400		
21223	21223	23	470	4700		
21224	21224	24	500	5000		
21225	21225	25	530	5300		
21226	21226	26	560	5600		
21227	21227	27	590	5900		
21301	21301	1	50	500		
21302	21302	2	80	800		
21303	21303	3	100	1000		
21304	21304	4	110	1100		
21305	21305	5	120	1200		
21306	21306	6	130	1300		
21307	21307	7	150	1500		
21308	21308	8	170	1700		
21309	21309	9	180	1800		
21310	21310	10	190	1900		
21311	21311	11	200	2000		
21312	21312	12	220	2200		
21313	21313	13	240	2400		
21314	21314	14	260	2600		
21315	21315	15	280	2800		
21316	21316	16	300	3000		
21317	21317	17	320	3200		
21318	21318	18	350	3500		
