Id	GachaId	IsRare	TemplateId	Name	Type	ProbShow[1]	ProbShow[2]	ProbShow[3]	ProbShow[4]	ProbShow[5]
1	11002	1		Grace		0.50%	0.80%	1.76%	4.34%	92.60%
2	11002	1		White Acclaim		40.00%	35.50%	18.73%	5.59%	0.18%
3	11002	1		Grace Portrait		40.00%	35.50%	18.73%	5.59%	0.18%
4	11002	1		Targeted Weapon R&D Ticket x2500		9.75%	14.10%	30.39%	42.24%	3.52%
5	11002	1		Event Construct R&D Ticket x2500		9.75%	14.10%	30.39%	42.24%	3.52%
6	11002			Memory Enhancer IV		28.57%				
7	11002			Weapon Enhancer IV		28.57%				
8	11002			EXP Pod (L)		14.29%				
9	11002			Major Overclock Alloy		8.57%				
10	11002			Memory Overclock Circuit II		8.57%				
11	11002			Weapon Overclock Core II		8.57%				
12	11002			Cog Pack (XL)		2.86%				
13	14	1	14000005	Daydream Believer		0.50%	0.75%	1.35%	10.15%	87.25%
14	14	1	6002505	Snow Petals		3.50%	4.90%	8.83%	70.71%	12.06%
15	14	1	50005	Event Construct R&D Ticket x2500		32.00%	31.45%	29.94%	6.38%	0.23%
16	14	1	50003	Target Weapon R&D Ticket x2500		32.00%	31.45%	29.94%	6.38%	0.23%
17	14	1	3002	6★ Weapon Resonance Material		32.00%	31.45%	29.94%	6.38%	0.23%
18	14		31204	Memory Enhancer IV		18.92%				
19	14		31104	Weapon Enhancer IV		18.92%				
20	14		30013	EXP Pod (L)		10.81%				
21	14		40110	Major Overclock Alloy		9.46%				
22	14		40114	Memory Overclock Circuit II		9.46%				
23	14		40113	Weapon Overclock Core II		9.46%				
24	14		90014	Cog Pack (XL)		4.05%				
25	14		40201	Support Overclock Bundle (L)		9.46%				
26	14		40301	Support Skill Component		9.46%				
