Id	Name	TabType	FatherTab	RankingTarget	Params[1]	Params[2]	RoundId
1	Command Bureau Ranking	BtnFirstHasSnd					
2	Command Bureau Ranking	BtnSecondAll	1	1	1	0	
3	Command Bureau Report	BtnFirstHasSnd					
4	Total Reports	BtnSecondTop	3	2	2	0	
5	First Round Report	BtnSecond	3	2	2	1	1
6	Second Round Report	BtnSecond	3	2	2	2	2
7	Third Round Report	BtnSecondBottom	3	2	2	3	3
8	Hidden Node	BtnFirstHasSnd					
9	First Round Report	BtnSecondTop	8	3	6	1	1
10	Second Round Report	BtnSecond	8	3	6	2	2
11	Third Round Report	BtnSecondBottom	8	3	6	3	3
