Id	AttribTypes[1]	Values[1]	AttribTypes[2]	Values[2]	AttribTypes[3]	Values[3]	AttribTypes[4]	Values[4]	AttribTypes[5]	Values[5]	AttribTypes[6]	Values[6]	AttribTypes[7]	Values[7]	AttribTypes[8]	Values[8]
200	1	-0.8	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
201	1	-0.6	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
202	1	-0.4	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
203	1	-0.2	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
204	1	0.01	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
205	1	0.2	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
206	1	0.5	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
207	1	1	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
208	1	1.5	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
209	1	2	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
