Id	Type	ItemId	Round	NeedValue	ResetCostId	ResetCostCount	Desc
11001051	3		1	5	61302	1	Break Package
21001051	2		1	10	61302	1	Analyze Package
31021051	2		1	1	61302	1	Calculate Route
11021052	4	61501		1			Inspect [Data Fragment]
11022051	1		2	18	61302	1	Begin Mission
11022052	3		2	22	61302	1	Suppressive Computing Power
11022053	4	61501		1			Inspect [Data Fragment]
11022054	4	61512		1			Inspect [Binary Jokes Software]
11022055	4	61513		1			Inspect [Unknown Data Backup]
11023051	1		2	18	61302	1	Begin Mission
11023052	3		2	22	61302	1	Suppressive Computing Power
11031050	3		1	6	61302	1	Brute-force Filtering
11031051	2		1	1	61302	1	Neural Inversion
11032051	4	61502		1			Inspect [Security Code]
11032052	4	61503		1			Inspect [Origin of Signals]
11032053	3		1	6	61302	1	Repair Sequence
11032054	2		1	1	61302	1	Pattern Inversion
11032055	1		1	4	61302	1	Remove Disorder
11032056	2		1	15	61302	1	Perception Evasion
11032057	3		1	15	61302	1	Arithmetic Evasion
11033051	2		2	11	61302	1	Perception Route
11033052	3		2	23	61302	1	Suppressive Computing Power
11041051	1		1	5	61302	1	Frontal Breakthrough
21041051	3		1	6	61302	1	Hack into Control
11041052	1		1	4	61302	1	Break through the encirclement
11041053	1		1	4	61302	1	Break the Gate
21041053	2		1	2	61302	1	Search Vulnerability
11041055	1		1	5	61302	1	Break the Gate
21041055	2		1	6	61302	1	Search Vulnerability
11042051	4	61504		1			Inspect [Lost Mission Record]
11042052	1		1	10	61302	1	Frontal Breakthrough
21042052	3		1	6	61302	1	Hack into Control
11042053	3		1	6	61302	1	Hack into the Security Lock
11042055	1		1	4	61302	1	Break by Force
11042057	1		1	4	61302	1	Break by Force
21042057	3		1	6	61302	1	Hack into the Security Lock
11043051	1		2	17	61302	1	Begin Mission
11043052	2		2	12	61302	1	Perception Route
11043053	4	61510		1			Inspect [Deserted Waypoint]
11043054	4	61504		1			Inspect [Lost Mission Record]
11043055	4	61508		1			Inspect [Comms Record of Scarab Squad]
11044051	1		2	19	61302	1	Begin Mission
11044052	2		2	12	61302	1	Perception Route
11044053	3		2	25	61302	1	Suppressive Computing Power
11044054	1		2	22	61302	1	Begin Mission
11044055	4	61511		1			Inspect [Bait Processor]
11051051	4	61505		1			Inspect [Electronic Circuit]
11051052	1		1	20	61302	1	Combat Evasion
11051053	2		1	20	61302	1	Perception Evasion
11051054	4	61506		1			Inspect [Passcode]
11051055	1		1	4	61302	1	Hack Repair
21051055	2		1	8	61302	1	Instinct Repair
11051056	2		1	1	61302	1	Instinct Repair
21051056	3		1	12	61302	1	Arithmetic Repair
11051057	1		1	4	61302	1	Repair Node
11051058	3		1	7	61302	1	Repair Node
11051059	2		1	1	61302	1	Repair Node
11052051	1		2	19	61302	1	Begin Mission
11052052	2		2	12	61302	1	Perception Route
11052053	3		2	25	61302	1	Suppressive Computing Power
11052054	4	61509		1			Inspect [Lost Defense Data]
11052055	4	61507		1			Inspect [Gestalt Surveillance Record]
11053051	1		3	30	61302	1	Begin Mission
12021051	1		1	15	61302	1	Combat Breakthrough
22021051	2		1	5	61302	1	Perception Breakthrough
32021051	3		1	20	61302	1	Arithmetic Breakthrough
12021052	4	61521		1			Inspect [Damaged Memory Shell]
12021053	4	61522		1			Inspect [Mini Storage Terminal]
12021054	4	61523		1			Inspect [Data Collection Terminal]
12021055	4	61502		1			Item Calculation
12021056	3		1	15	61302	1	INT verification
12021057	3		1	15	61302	1	INT verification
12021058	3		1	15	61302	1	INT verification
12022051	1		1	15	61302	1	Combat Breakthrough
22022051	2		1	6	61302	1	Perception Breakthrough
32022051	3		1	20	61302	1	Arithmetic Breakthrough
12022052	1		1	15	61302	1	Combat Breakthrough
22022052	2		1	6	61302	1	Perception Breakthrough
32022052	3		1	20	61302	1	Arithmetic Breakthrough
12022053	4	61524		1			Inspect [Key Card]
12022054	4	61524		1			Inspect [Key Card]
12022055	4	61524		1			Inspect [Key Card]
12022056	4	61524		1			Inspect [Key Card]
12022057	4	61525		1			Inspect [Data Chip]
12022058	4	61525		1			Inspect [Data Chip]
12022059	4	61525		1			Inspect [Data Chip]
12022851	4	61525		1			Inspect [Data Chip]
12022852	4	61525		1			Inspect [Data Chip]
12022853	3		1	15	61302	1	INT verification
12022854	3		1	15	61302	1	INT verification
12022855	3		1	15	61302	1	INT verification
12031051	1		1	15	61302	1	Combat Breakthrough
22031051	2		1	6	61302	1	Perception Breakthrough
32031051	3		1	20	61302	1	Arithmetic Breakthrough
12031052	1		1	15	61302	1	Combat Breakthrough
22031052	2		1	6	61302	1	Perception Breakthrough
32031052	3		1	20	61302	1	Arithmetic Breakthrough
12031053	1		1	15	61302	1	Combat Breakthrough
22031053	2		1	6	61302	1	Perception Breakthrough
32031053	3		1	20	61302	1	Arithmetic Breakthrough
12031054	4	61540		1			Inspect [Message Record]
12031055	4	61502		1			Item Calculation
12031056	4	61503		1			Item Calculation
12031057	4	61501		1			Item Calculation
12031058	4	61502		1			Item Calculation
12031059	4	61503		1			Item Calculation
12031851	4	61526		1			Inspect [Shopping Street Map]
12031852	4	61527		1			Inspect [Remaining Clue 1]
12031853	4	61528		1			Inspect [Remaining Clue 2]
12031854	4	61526		1			Inspect [Shopping Street Map]
12031855	4	61527		1			Inspect [Remaining Clue 1]
12031856	4	61528		1			Inspect [Remaining Clue 2]
12032051	1		1	15	61302	1	Combat Breakthrough
22032051	2		1	6	61302	1	Perception Breakthrough
32032051	3		1	20	61302	1	Arithmetic Breakthrough
12032052	1		1	15	61302	1	Combat Breakthrough
22032052	2		1	6	61302	1	Perception Breakthrough
32032052	3		1	20	61302	1	Arithmetic Breakthrough
12032053	4	61529		1			Inspect [Remaining Data]
12032054	4	61530		1			Inspect [Scavenger Woman's Data]
12032055	3		1	15	61302	1	INT verification
12032056	3		1	15	61302	1	INT verification
12032057	3		1	15	61302	1	INT verification
12032058	3		1	15	61302	1	INT verification
12032059	3		1	15	61302	1	INT verification
12032851	3		1	15	61302	1	INT verification
12032852	3		1	15	61302	1	INT verification
12032853	3		1	15	61302	1	INT verification
12033051	1		1	15	61302	1	Combat Breakthrough
22033051	2		1	6	61302	1	Perception Breakthrough
32033051	3		1	20	61302	1	Arithmetic Breakthrough
12033052	1		1	15	61302	1	Combat Breakthrough
22033052	2		1	6	61302	1	Perception Breakthrough
32033052	3		1	20	61302	1	Arithmetic Breakthrough
12033053	4	61531		1			Inspect [District Key Card]
12033054	4	61532		1			Inspect [Angel's Data]
12033055	1		1	30	61302	1	Combat Breakthrough
12041051	1		1	10	61302	1	Combat Breakthrough
22041051	2		1	6	61302	1	Perception Breakthrough
32041051	3		1	20	61302	1	Arithmetic Breakthrough
12041052	4	61533		1			Inspect [Contamination Suit]
12041053	4	61533		1			Inspect [Contamination Suit]
12041054	4	61534		1			Inspect [Torn Diary]
12041055	1		1	30	61302	1	Combat Breakthrough
12042051	1		1	15	61302	1	Combat Breakthrough
22042051	2		1	6	61302	1	Perception Breakthrough
32042051	3		1	20	61302	1	Arithmetic Breakthrough
12042052	1		1	15	61302	1	Combat Breakthrough
22042052	2		1	6	61302	1	Perception Breakthrough
32042052	3		1	20	61302	1	Arithmetic Breakthrough
12042053	4	61535		1			Inspect [Suit Enhancement Set]
12042054	4	61536		1			Inspect [Authorization Chip]
12042055	1		1	15	61302	1	Combat Breakthrough
