Id	RoleId	AttributeValue	Result[1]	Weight[1]	Result[2]	Weight[2]	Result[3]	Weight[3]
1	1	0	1	10				
2	1	1	1	10				
3	1	2	1	10	2	10		
4	1	3	1	10	2	10	3	10
5	1	4	2	10	3	10	4	10
6	1	5	3	10	4	10	5	10
7	1	6	4	10	5	10	6	10
8	1	7	5	10	6	10	7	10
9	1	8	6	10	7	10	8	10
10	1	9	7	10	8	10	9	10
11	1	10	8	10	9	10	10	10
12	1	11	9	10	10	10	11	10
13	1	12	10	10	11	10	12	10
14	1	13	11	10	12	10	13	10
15	1	14	12	10	13	10	14	10
16	1	15	13	10	14	10	15	10
17	1	16	14	10	15	10	16	10
18	1	17	15	10	16	10	17	10
19	1	18	16	10	17	10	18	10
20	1	19	17	10	18	10	19	10
21	1	20	18	10	19	10	20	10
22	1	21	19	10	20	10	21	10
23	1	22	20	10	21	10	22	10
24	1	23	21	10	22	10	23	10
25	1	24	22	10	23	10	24	10
26	1	25	23	10	24	10	25	10
27	1	26	24	10	25	10	26	10
28	1	27	25	10	26	10	27	10
29	1	28	26	10	27	10	28	10
30	1	29	27	10	28	10	29	10
31	1	30	28	10	29	10	30	10
32	1	31	29	10	30	10	31	10
33	1	32	30	10	31	10	32	10
34	1	33	31	10	32	10	33	10
35	1	34	32	10	33	10	34	10
36	1	35	33	10	34	10	35	10
37	1	36	34	10	35	10	36	10
38	1	37	35	10	36	10	37	10
39	1	38	36	10	37	10	38	10
40	1	39	37	10	38	10	39	10
41	1	40	38	10	39	10	40	10
42	2	0	1	10				
43	2	1	1	10				
44	2	2	1	10	2	10		
45	2	3	1	10	2	10	3	10
46	2	4	2	10	3	10	4	10
47	2	5	3	10	4	10	5	10
48	2	6	4	10	5	10	6	10
49	2	7	5	10	6	10	7	10
50	2	8	6	10	7	10	8	10
51	2	9	7	10	8	10	9	10
52	2	10	8	10	9	10	10	10
53	2	11	9	10	10	10	11	10
54	2	12	10	10	11	10	12	10
55	2	13	11	10	12	10	13	10
56	2	14	12	10	13	10	14	10
57	2	15	13	10	14	10	15	10
58	2	16	14	10	15	10	16	10
59	2	17	15	10	16	10	17	10
60	2	18	16	10	17	10	18	10
61	2	19	17	10	18	10	19	10
62	2	20	18	10	19	10	20	10
63	2	21	19	10	20	10	21	10
64	2	22	20	10	21	10	22	10
65	2	23	21	10	22	10	23	10
66	2	24	22	10	23	10	24	10
67	2	25	23	10	24	10	25	10
68	2	26	24	10	25	10	26	10
69	2	27	25	10	26	10	27	10
70	2	28	26	10	27	10	28	10
71	2	29	27	10	28	10	29	10
72	2	30	28	10	29	10	30	10
73	2	31	29	10	30	10	31	10
74	2	32	30	10	31	10	32	10
75	2	33	31	10	32	10	33	10
76	2	34	32	10	33	10	34	10
77	2	35	33	10	34	10	35	10
78	2	36	34	10	35	10	36	10
79	2	37	35	10	36	10	37	10
80	2	38	36	10	37	10	38	10
81	2	39	37	10	38	10	39	10
82	2	40	38	10	39	10	40	10
83	3	0	1	10				
84	3	1	1	10				
85	3	2	1	10	2	10		
86	3	3	1	10	2	10	3	10
87	3	4	2	10	3	10	4	10
88	3	5	3	10	4	10	5	10
89	3	6	4	10	5	10	6	10
90	3	7	5	10	6	10	7	10
91	3	8	6	10	7	10	8	10
92	3	9	7	10	8	10	9	10
93	3	10	8	10	9	10	10	10
94	3	11	9	10	10	10	11	10
95	3	12	10	10	11	10	12	10
96	3	13	11	10	12	10	13	10
97	3	14	12	10	13	10	14	10
98	3	15	13	10	14	10	15	10
99	3	16	14	10	15	10	16	10
100	3	17	15	10	16	10	17	10
101	3	18	16	10	17	10	18	10
102	3	19	17	10	18	10	19	10
103	3	20	18	10	19	10	20	10
104	3	21	19	10	20	10	21	10
105	3	22	20	10	21	10	22	10
106	3	23	21	10	22	10	23	10
107	3	24	22	10	23	10	24	10
108	3	25	23	10	24	10	25	10
109	3	26	24	10	25	10	26	10
110	3	27	25	10	26	10	27	10
111	3	28	26	10	27	10	28	10
112	3	29	27	10	28	10	29	10
113	3	30	28	10	29	10	30	10
114	3	31	29	10	30	10	31	10
115	3	32	30	10	31	10	32	10
116	3	33	31	10	32	10	33	10
117	3	34	32	10	33	10	34	10
118	3	35	33	10	34	10	35	10
119	3	36	34	10	35	10	36	10
120	3	37	35	10	36	10	37	10
121	3	38	36	10	37	10	38	10
122	3	39	37	10	38	10	39	10
123	3	40	38	10	39	10	40	10
124	4	0	1	10				
125	4	1	1	10				
126	4	2	1	10	2	10		
