Id	Endurance	ActionId[1]	ActionId[2]	ActionId[3]	ActionId[4]	PunishId[1]	PunishWeight[1]	PunishId[2]	PunishWeight[2]	PunishId[3]	PunishWeight[3]	PunishId[4]	PunishWeight[4]	PunishId[5]	PunishWeight[5]	Title	Description	SucDesc	FailDesc	StartMovieId
1001051	1	11001051	21001051													Unknown Record	The record (code name X-779) is protected by an encrypted seal. You wonder why there is so much protection on a record that is stored in a redundant module, but Celica must have her reasons.	File extracted successfully...\nFile ID: X-779\n"Borders will disappear, and the Babel Tower of spirit will shine on the peak of human civilization once again. It is the symbol of the rise of mankind."	Even the most outstanding individual may make mistakes. You were lucky to avoid the potential negative event.	
1021051	1	31021051				0	100									Area Overload	With Lee's computing power, you attempt to find a safe way through the highly dense data defense formation. (Calculation required)	Lee has come up with a precise plan, pointing out a narrow opening amongst the highly dense data defense.	The scanned data shows a highly dense data defense formation, but it fails to calculate a safe route through it. The data torrent has pushed everyone out of the connection, and you have to start over again.	JD01601BA
1021052	0	11021052														Data Fragment	You must find [Data Fragment] to continue going forward. It can be obtained by exploring Area 2 of the Tactical Bridge.	The data fragment has been retrieved. Now the data in the area is complete, the blockade has been lifted.	No Failure Description	
1022051	1	11022051				0	100	1022041	100	1022021	50	1022022	50	1022023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1022052	1	11022052				0	100	1022041	100	1022021	50	1022022	50	1022023	40	Disruptive Block	The entire area is filled with disordered, broken visual signals. The sensors on terminals and Constructs are significantly impacted. If the interference can not be removed...	The interference is eventually suppressed. The visual signals in the area are restored.	Suppression alone cannot overwhelm the machine algorithm. The situation is not getting any better, and you have to seek alternative solutions.	
1022053	0	11022053														Blockade Item 6	You must find [Item 6] to continue going forward.	You have successfully used [Item 6] to go through. More unknown awaits you in the future exploration.	No Failure Description	
1022054	0	11022054														Consolidated Software	You must find [Binary Jokes Software] to continue going forward. It can be obtained by exploring Area 3 of Dominik Memorial Park.	You have successfully used [Binary Jokes Software] to go through. More unknown awaits you in the future exploration.	No Failure Description	
1022055	0	11022055														Read Data	You must find [Unknown Data Backup] to continue going forward. It can be obtained by exploring Area 3 of the Tactical Bridge.	You have successfully used [Unknown Data Backup] to go through. More unknown awaits you in the future exploration.	No Failure Description	
1023051	1	11023051				0	100	1023041	100	1023021	50	1023022	50	1023023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1023052	1	11023052				0	100	1023041	100	1023021	50	1023022	50	1023023	40	Disruptive Block	The entire area is filled with disordered, broken visual signals. The sensors on terminals and Constructs are significantly impacted. If the interference can not be removed...	The interference is eventually suppressed. The visual signals in the area are restored.	Suppression alone cannot overwhelm the machine algorithm. The situation is not getting any better, and you have to seek alternative solutions.	
1031050	1	11031050				0	100									Scanning	Lee suggests a brute-force filtering using his advantage of processing power to find "Bianca" from the enormous amount of data and noise. (Calculation required)	The sea of noise slowly dissipates from the terminal, revealing an obscure path forward.	The amount of signals and traces is reduced, but they are still in disorder. You did not find any useful information.	JD01602BA
1031051	1	11031051				0	100									Junk Data	The chaotic traces form a net on the road. It will be difficult to find the right one. (Calculation required)	You locate the most recent trace precisely. It points to somewhere far away.	The maze is still very confusing. A slight deviation can lead you to a completely incorrect decision.	JD01603BA
1032051	0	11032051														Security Code	You must find [Security Code] to continue going forward. It can be obtained by exploring this area.	In the record, you find a data entity hacking into the virtual space through a damaged encrypted link. Its identity characteristics pointed to "Huaxu." Time to unveil the truth.	No Failure Description	
1032052	0	11032052														Origin of Signals	Only the [Origin of Signals] can restore the disrupted, blocked area to its normal state. You have to wait for [Babylonia] to settle down before searching again.	You have successfully used [Origin of Signals] to go through the blockade. More unknown awaits you in the future exploration.	No Failure Description	
1032053	1	11032053				0	100									Compromised Code	The disordered data entity loses its original purpose and wanders in the virtual space. If you can help it, it may be able to provide some assistance. (Calculation required)	The program's function is repaired, and a restored jumping route points to a waypoint ahead.	You spend a long time trying to repair the program, but little progress was made.	JD01604BA
