Id	Type	Params[1]	Params[2]	Desc
10001	1	30200001		Penalty Stage 1
10002	1	30200002		Penalty Stage 2
20001	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
20002	2	3002		1-4 ability, lasts 1 day
20003	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
20004	2	3004		2-4 ability, lasts 1 day
20005	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
20006	2	3006		3-4 ability, lasts 1 day
20007	2	3007		"1,2,3-3 ability, lasts 1 day"
30001	3	61001	20	20 Battle Support Points lost.
40001	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1021041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1021021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1021022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1021023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1021031	3	61001	20	20 Battle Support Points lost.
1022041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1022021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1022022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1022023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1022031	3	61001	20	20 Battle Support Points lost.
1023041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1023021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1023022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1023023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1023031	3	61001	20	20 Battle Support Points lost.
1031041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1031021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1031022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1031023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1031031	3	61001	20	20 Battle Support Points lost.
1032041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1032021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1032022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1032023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1032031	3	61001	20	20 Battle Support Points lost.
1033041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1033021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1033022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1033023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1033031	3	61001	20	20 Battle Support Points lost.
1041041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1041021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1041022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1041023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1041031	3	61001	20	20 Battle Support Points lost.
1042041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1042021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1042022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1042023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1042031	3	61001	20	20 Battle Support Points lost.
1043041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1043021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1043022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1043023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1043031	3	61001	20	20 Battle Support Points lost.
1044041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1044021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1044022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1044023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1044031	3	61001	20	20 Battle Support Points lost.
1051041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
