Id	Title	StoryText
1	Encounter: Lotus	Lucia seems to believe the mascot in the Froggie costume to be the actual Froggie. Should you tell her the truth?
2	Encounter: Dawn	You pass by the cookie-making event at the park, and the two-hour event is coming to an end. You find Lucia there carefully packaging her finished work, seemingly hoping to bring them back to the Gray Raven base.
3	Encounter: Plume	You find Lucia at dusk as she queues before the Ferris wheel. Together, you board it and reach the highest point of the park, and you watch the fading sunlight gilding Lucia's dark hair with gold.
4	Encounter: Alpha	Alpha pulls you onto her jet ski before you can rent one. The waves almost knock you over, but she catches you in time.
5	Encounter: Palefire	You find Lee lost in thought during the light show at Venus Splash Park. He claims that he would have done a better and more efficient job if he were the one in charge of the electronics.
6	Encounter: Entropy	While competing with you at the shooting gallery in the park, Lee manages to shoot down over two bags full of plushies, which the two of you carry back to the rendezvous point.
7	Encounter: Eclipse	While strolling in the park, you find Liv spacing out as she stares at the flowerbeds. She seems to be planning a similar gardening project at the Gray Raven base.
8	Encounter: Lux	Having met Liv as you both bought crepes from the food truck, you swap your different-favored crepes with each other halfway through. Liv looks happy to you.
9	Encounter: Luminance	Startled by you, a group of doves flies away when you sit on a bench in the square, and you see Liv amidst their wings, who is looking at you too as she feeds the doves.
10	Encounter: Bastion	Having witnessed Kamui's failed attempts to surf with Big Kamui several times, you finally stop him and takes him to rent a surfboard.
11	Encounter: Tenebrion	Kamui tries to act cool while playing the dance machine at the Game Center, and you witness the moment he falls flat on his face.
12	Encounter: Zero	You have afternoon tea with Bianca after running into her shopping and helping carry her things. She gives you a whole bunch of vouchers.
13	Encounter: Veritas	Having climbed the highest tower of the castle in the park, you find Bianca standing there in the rising sun, her hair flying in the wind and the dawn enveloping her in a sacred halo.
14	Encounter: Blast	You are assigned to Venus Splash Park's logistics department with Karenina, and you are forced to increase the amount of explosives used in the firework tonight.
15	Encounter: Ember	Having been dragged into Karnina's water fight while you stroll on the beach, you lose miserably to her super soaker, which is actually her Bazooka.
16	Encounter: Storm	Having gotten lost in the float parade, you run into Nanami, who is pretending to be an NPC. You two hide in the parade, not discovered until the very end.
17	Encounter: Pulse	After getting a higher score than Nanami out of sheer luck at the Game Center, she drags you to play 20 games of Zevious BX with her nonstop.
