Key	IntValues[1]	IntValues[2]	IntValues[3]	IntValues[4]	FloatValues[1]	FloatValues[2]	FloatValues[3]	StringValues[1]	StringValues[2]	StringValues[3]	StringValues[4]	StringValues[5]	Comment
ChipMaxCount	1000												Max number of chips reached
ChipFormCount	6												Number of chip groups
ChipFormNameMaxLength	8												Max length of chip group name
LostTipId	1												Insufficient BP, failed
RoomTipId	2												Room disbanded, failed
WeekTaskGroupId	5												Weekly Mission
TaskGroupId	6												Mode Mission
WeekGainAssistLimit	10000												Max Support Points obtainable every week
WeekGainSocialAssistLimit	10000												Max Friend Support Points obtainable every week
BorrowSocialAssist	15	15											Borrow a friend's chip to get Support Points for yourself and your friend
BorrowTeammateAssist	10	10											Borrow a teammate's chip to get Support Points for yourself and your teammate
BorrowRandomAssist	5	5											Borrow a player's chip to get Support Points for yourself and the player
AssistPointItemId	97002												Support Point ItemId
RandAssistChipCount	5												Max random Support Shards provided by players
HelpKey								lalalal					Help button
IconBreakthrough0								Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak01.png	Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D01.png				Overclock icon attempt 0
IconBreakthrough1								Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak02.png	Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D02.png				Overclock icon attempt 1
IconBreakthrough2								Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak03.png	Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D03.png				Overclock icon attempt 2
SortGroup								Star	Level	Overclock	Recent		Filter frame of batch equipment screen
EmptyChipGroup								Assets/Product/Texture/Image/UiDlcHunt/UiDlcHuntIconMain00.png					empty chip group icon
MatchTimeoutSec	300												Match timeout (seconds), 0 means no limit
ReJoinWorldDuration	300												Duration of reconnection after disconnection
ModelMainUi								Mb1BengyuehtMd010001					Home screen model
CharacterAttr								Defense	Life	Attack			Stats displayed on the character screen
DurationRequestFriendAssistantChipClient	300												Request interval for client friend chip support list
AssistantChipAmount	10	2	2	2									Number of client chip support lists, the corresponding order is: friends, teammates, random, planned configuration
RoomKickCountDownTime	30												Once everyone in the room is ready, the countdown to kick the host begins.
RoomKickCountDownShowTime	10												Once everyone in the room is ready, the countdown to kick the host begins. No time alerts.
ChipEffect								0	0	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Blue.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Purple.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Golden.prefab	Chip model special effect
ChipSubEffect								0	0	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongBlue.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongPurple.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongGolden.prefab	Secondary chip main interface model special effect
ChipMainEffect								0	0	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuBlue.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuPurple.prefab	Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuGolden.prefab	Main chip main interface model special effect
TimeOutSettleMailId	67001												
RankNumber								Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoOne.png	Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoTwo.png	Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoThree.png			Ranking Images 123
ChipFormDefaultNameAffix								Chip group					
