ModelId	WeaponId[0]	WeaponId[1]	StandbyAnime	HitAnime	Born	FrontDash	BackDash	SpecialAttack[1]	SpecialAttack[2]	SpecialAttack[3]	SpecialAttack[4]	SpecialAttack[5]	SpecialAttack[6]	SpecialAttack[7]	SpecialAttack[8]	SpecialAttack[9]	SpecialAttack[10]	NormalAttack[0]	NormalAttack[1]	NormalAttack[2]	NormalAttack[3]	NormalAttack[4]	NormalAttack[5]	NormalAttack[6]	RedAttack[0]	RedAttack[1]	RedAttack[2]	BlueAttack[0]	BlueAttack[1]	BlueAttack[2]	YellowAttack[0]	YellowAttack[1]	YellowAttack[2]	SpecialAttackSound[1]	SpecialAttackSound[2]	SpecialAttackSound[3]	SpecialAttackSound[4]	SpecialAttackSound[5]	SpecialAttackSound[6]	SpecialAttackSound[7]	SpecialAttackSound[8]	SpecialAttackSound[9]	SpecialAttackSound[10]	HideNodeName[1]
Mb1SwordMd030001			Stand2	Hit1	110119			813039	813039	813039	813039	813039	813039	813039	813039	813039	813039																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1LuolanMd010001			Stand2	Hit1	816006			816003	816003	816003	816003	816003	816003	816003	816003	816003	816003																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1XiuMd010001			Stand2	Hit1	110424			831009	831009	831009	831009	831009	831009	831009	831009	831009	831009																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1MelodyMd010001			Stand2	Hit1	835000			835013	835013	835013	835013	835013	835013	835013	835013	835013	835013																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1LunaMd010001			Stand2	Hit1	839033			839071	839071	839071	839071	839071	839071	839071	839071	839071	839071																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1BraveMd010011			Stand2		821508			821506	821506	821506	821506	821506	821506	821506	821506	821506	821506																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
R2YongyechaoMd010011	10570111		Stand2		100514	100521	100522											110201	100510	100511	100512	100513			100501	100502	100503	100504	100505	100506	100507	100508	100509											
R2LiangMd010011	10170111	10170111	Stand2		100111	100119	100120											100121	100122	100123	100124	100125			100101	100102	100103	100104	100105	100106	100107	100108	100109											
R2DubianMd010011	10870111	10870111	Stand2		100816	100819	100820											100801	100802	100803	100804	100805			100807	100808	100809	100810	100811	100812	100813	100814	100815											
R4LuxiyaMd010011	10230111		Stand2		103221	103216	103217											103201	103202	103203	103204	103205			103206	103207	103208	103209	103210	103211	103212	103213	103214											
R3WeilaMd010011	12360111		Stand2		111328	111318	111319											111301	111302	111303	111304	111305	111306		111307	111308	111309	111310	111311	111312	111313	111314	111315											
R2AilaMd010011	10930111		Stand2		100917	100915	100916											100901	100902	100903	100904				100905	100906	100907	100908	100909	100910	100911	100912	100913											
R2WanshiMd010011	11850112	11850112	Stand2		110929	110918	110919											110901	110902	110903	110904	110905	110906	110907	110908	110909	110910	110911	110912	110913	110914	110915	110916											
