Key	Values[1]	Values[2]	Values[3]	Comment
Name	Circuit Connect - Force Unleashed			Event Name
BannerIcon	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner61.png			Event Entrance Icon
HelpId	10094			Event Help Mark
AssetItemIds	63	64		Event Token ID Data
TaskGroupId	158	159		TaskTimeLimit.tab Configuration ID (New Task ID and TaskTimeLimit ID needed for every version)
ShopId	1229	1230		Event Shop shopID
GradeIconSSS+	Assets/Product/Texture/Image/UiSameColorGame/SameColorSSS2.png			Rank SSS+ Icon
GradeIconSSS	Assets/Product/Texture/Image/UiSameColorGame/SameColorSSS.png			Rank SSS Icon
GradeIconSS+	Assets/Product/Texture/Image/UiSameColorGame/SameColorSS2.png			Rank SS+ Icon
GradeIconSS	Assets/Product/Texture/Image/UiSameColorGame/SameColorSS.png			Rank SS Icon
GradeIconS+	Assets/Product/Texture/Image/UiSameColorGame/SameColorS2.png			Rank S+ Icon
GradeIconS	Assets/Product/Texture/Image/UiSameColorGame/SameColorS.png			Rank S Icon
GradeIconA+	Assets/Product/Texture/Image/UiSameColorGame/SameColorA2.png			Rank A + Icon
GradeIconA	Assets/Product/Texture/Image/UiSameColorGame/SameColorA.png			Rank A Icon
GradeIconB+	Assets/Product/Texture/Image/UiSameColorGame/SameColorB2.png			Rank B + Icon
GradeIconB	Assets/Product/Texture/Image/UiSameColorGame/SameColorB.png			Rank B Icon
GradeIconC+	Assets/Product/Texture/Image/UiSameColorGame/SameColorC2.png			Rank C + Icon
GradeIconC	Assets/Product/Texture/Image/UiSameColorGame/SameColorC.png			Rank C Icon
GradeIconD+	Assets/Product/Texture/Image/UiSameColorGame/SameColorD2.png			Rank D + Icon
GradeIconD	Assets/Product/Texture/Image/UiSameColorGame/SameColorD.png			Rank D Icon
GradeIconE+	Assets/Product/Texture/Image/UiSameColorGame/SameColorE2.png			Rank E + Icon
GradeIconE	Assets/Product/Texture/Image/UiSameColorGame/SameColorE.png			Rank E Icon
RankIcons	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo1.png	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo2.png	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo3.png	Ranking Top 3 Icon
BattleComboLevel	1	5	10	Current Combo Levels
