ModelId	Comment	Combo[0]	Combo[1]	Combo[2]	Combo[3]	ComboActionLimit[1]	ComboActionLimit[2]	ComboActionLimit[3]	ComboActionLimit[4]	ComboActionLimit[5]	ComboActionLimit[6]	ComboActionLimit[7]	ComboActionLimit[8]	ComboActionLimit[9]
R2YongyechaoMd010011	Nanami	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2LiangMd010011	Lee	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2DubianMd010011	Watanabe	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R4LuxiyaMd010011	Lucia	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R3WeilaMd010011	Vera	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2AilaMd010011	Ayla	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2WanshiMd010011	Wanshi	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R3YongyechaoMd010011	Pulse	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2KalieninaMd010011	Karenina	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R3KalieninaMd010011	Ember	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2PulaoMd010011	Pulao	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R3KuluomuMd010011	Ice House	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R3BiankaMd010011	Veritas	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
R2NuoanMd010011	Noan	NormalAttack	BlueAttack	YellowAttack	RedAttack	1	2	3	4	5	6	7	8	9
