Id	DailyLimit	TotalLimit	TimeId	Config[1]	Config[2]	Config[3]	Config[4]	Config[5]	Config[6]	Config[7]	Config[8]	Config[9]	Config[10]	ExchangeType	CanMutiply	AutoClose
1	20			1	2	3	4	5	6	7				1	1	
4	10			101	102	103	104	105	106	107	108	109	110	1	1	
50000				12										1	1	1
50001				13										1	1	1
50002				14										1	1	1
50003				15										1	1	1
50004				16										1	1	1
50005				17										1	1	1
50007				18										1	1	1
50008				19										1	1	1
50009				20										1	1	1
50010				21										1	1	1
50011				22										1	1	1
38				201										1	1	
2017				2017										2	2	1
2018				2018										2	2	1
2019				2019										2	2	1
2020				2020										2	2	1
2021				2021										2	2	1
2022				2022										2	2	1
2023				2023										2	2	1
2024				2024										2	2	1
2025				2025										2	2	1
2026				2026										2	2	1
2027				2027										2	2	1
2028				2028										2	2	1
2029				2029										2	2	1
2030				2030										2	2	1
2031				2031										2	2	1
2032				2032										2	2	1
2033				2033										2	2	1
2034				2034										2	2	1
2035				2035										2	2	1
2036				2036										2	2	1
2037				2037										2	2	1
2038				2038										2	2	1
2039				2039										2	2	1
2040				2040										2	2	1
2041				2041										2	2	1
2042				2042										2	2	1
2043				2043										2	2	1
2044				2044										2	2	1
2045				2045										2	2	1
2046				2046										2	2	1
2047				2047										2	2	1
2048				2048										2	2	1
2049				2049										2	2	1
2050				2050										2	2	1
2051				2051										2	2	1
2052				2052										2	2	1
2053				2053										2	2	1
2054				2054										2	2	1
2081				2081										2	2	1
2083				2083										2	2	1
2084				2084										2	2	1
2085				2085										2	2	1
2086				2086										2	2	1
2087				2087										2	2	1
2088				2088										2	2	1
2089				2089										2	2	1
2090				2090										2	2	1
2091				2091										2	2	1
2092				2092										2	2	1
2093				2093										2	2	1
2094				2094										2	2	1
2095				2095										2	2	1
2096				2096										2	2	1
2097				2097										2	2	1
2098				2098										2	2	1
2099				2099										2	2	1
2100				2100										2	2	1
2101				2101										2	2	1
2102				2102										2	2	1
2116				2116										2	2	1
2117				2117										2	2	1
2118				2118										2	2	1
2119				2119										2	2	1
2120				2120										2	2	1
2121				2121										2	2	1
2122				2122										2	2	1
2123				2123										2	2	1
2124				2124										2	2	1
2125				2125										2	2	1
2126				2126										2	2	1
2127				2127										2	2	1
2128				2128										2	2	1
2129				2129										2	2	1
2130				2130										2	2	1
2131				2131										2	2	1
2132				2132										2	2	1
2133				2133										2	2	1
2134				2134										2	2	1
2135				2135										2	2	1
2136				2136										2	2	1
2137				2137										2	2	1
2138				2138										2	2	1
2139				2139										2	2	1
2140				2140										2	2	1
2141				2141										2	2	1
2142				2142										2	2	1
2143				2143										2	2	1
2144				2144										2	2	1
2145				2145										2	2	1
2146				2146										2	2	1
2147				2147										2	2	1
2148				2148										2	2	1
2149				2149										2	2	1
2150				2150										2	2	1
2151				2151										2	2	1
2152				2152										2	2	1
2153				2153										2	2	1
2154				2154										2	2	1
2155				2155										2	2	1
2156				2156										2	2	1
2157				2157										2	2	1
2158				2158										2	2	1
2159				2159										2	2	1
2160				2160										2	2	1
2161				2161										2	2	1
2162				2162										2	2	1
2163				2163										2	2	1
2164				2164										2	2	1
2165				2165										2	2	1
2166				2166										2	2	1
2167				2167										2	2	1
2168				2168										2	2	1
2169				2169										2	2	1
2170				2170										2	2	1
2171				2171										2	2	1
2172				2172										2	2	1
2173				2173										2	2	1
2174				2174										2	2	1
2175				2175										2	2	1
2176				2176										2	2	1
2177				2177										2	2	1
2178				2178										2	2	1
2179				2179										2	2	1
2180				2180										2	2	1
2181				2181										2	2	1
2182				2182										2	2	1
2183				2183										2	2	1
2184				2184										2	2	1
2185				2185										2	2	1
2186				2186										2	2	1
2187				2187										2	2	1
2188				2188										2	2	1
2189				2189										2	2	1
2190				2190										2	2	1
2195				2195										2	2	1
2196				2196										2	2	1
2197				2197										2	2	1
2198				2198										2	2	1
2199				2199										2	2	1
2200				2200										2	2	1
2201				2201										2	2	1
2202				2202										2	2	1
2203				2203										2	2	1
2204				2204										2	2	1
2205				2205										2	2	1
2206				2206										2	2	1
2207				2207										2	2	1
2208				2208										2	2	1
2209				2209										2	2	1
2210				2210										2	2	1
2212				2212										2	2	1
2213				2213										2	2	1
2214				2214										2	2	1
2215				2215										2	2	1
2216				2216										2	2	1
2217				2217										2	2	1
2218				2218										2	2	1
2219				2219										2	2	1
2220				2220										2	2	1
2221				2221										2	2	1
2222				2222										2	2	1
2223				2223										2	2	1
2224				2224										2	2	1
2225				2225										2	2	1
2261				2261										2	2	1
2262				2262										2	2	1
2263				2263										2	2	1
2264				2264										2	2	1
2265				2265										2	2	1
2266				2266										2	2	1
2267				2267										2	2	1
2268				2268										2	2	1
2269				2269										2	2	1
2270				2270										2	2	1
2271				2271										2	2	1
2272				2272										2	2	1
2273				2273										2	2	1
2274				2274										2	2	1
2275				2275										2	2	1
2276				2276										2	2	1
2277				2277										2	2	1
2321				2321										2	2	1
2322				2322										2	2	1
2323				2323										2	2	1
2324				2324										2	2	1
2325				2325										2	2	1
2326				2326										2	2	1
2327				2327										2	2	1
2328				2328										2	2	1
2329				2329										2	2	1
2330				2330										2	2	1
2331				2331										2	2	1
2332				2332										2	2	1
2333				2333										2	2	1
2334				2334										2	2	1
2335				2335										2	2	1
2336				2336										2	2	1
2337				2337										2	2	1
2338				2338										2	2	1
2339				2339										2	2	1
2350				2350										2	2	1
2351				2351										2	2	1
2352				2352										2	2	1
2354				2354										2	2	1
2355				2355										2	2	1
2356				2356										2	2	1
2357				2357										2	2	1
2358				2358										2	2	1
2359				2359										2	2	1
2360				2360										2	2	1
2361				2361										2	2	1
2362				2362										2	2	1
2363				2363										2	2	1
2364				2364										2	2	1
