Id	Times	GainCount	ConsumeId[0]	ConsumeId[1]	ConsumeCount[0]	ConsumeCount[1]	DiscountShows[1]	DiscountShows[2]
1	1	3	3		10			
2	2	4	3		20			
3	4	5	3		40			
4	6	6	3		80			
5	8	7	3		160			
6	10	8	3		320			
7	16	10	3		480			
101	1	60	3		30			
102	2	65	3		40			
103	3	70	3		50			
104	4	75	3		60			
105	5	80	3		70			
106	6	85	3		80			
107	7	90	3		90			
108	8	95	3		100			
109	9	100	3		110			
110	10	105	3		120			
12	1	1	3		1			
13	1	1	3		1			
14	1	1	3		1			
15	1	1	3		1			
16	1	1	3		1			
17	1	1	3		1			
18	1	1	3		1			
19	1	1	3		1			
20	1	1	3		1			
21	1	1	3		1			
22	1	1	3		1			
201	1	50	3		50			
2017	1	1	31	3	10	15		
2018	1	1	31	3	10	15		
2019	1	1	31	3	10	15		
2020	1	1	31	3	10	15		
2021	1	1	31	3	10	15		
2022	1	1	31	3	10	15		
2023	1	1	31	3	10	15		
2024	1	1	31	3	10	15		
2025	1	1	31	3	10	15		
2026	1	1	31	3	10	15		
2027	1	1	31	3	10	15		
2028	1	1	31	3	10	15		
2029	1	1	31	3	10	15		
2030	1	1	31	3	10	15		
2031	1	1	31	3	10	15		
2032	1	1	31	3	10	15		
2033	1	1	31	3	10	15		
2034	1	1	31	3	10	15		
2035	1	1	31	3	10	15		
2036	1	1	31	3	10	15		
2037	1	1	31	3	10	15		
2038	1	1	31	3	10	15		
2039	1	1	31	3	10	15		
2040	1	1	31	3	10	15		
2041	1	1	31	3	10	15		
2042	1	1	31	3	10	15		
2043	1	1	31	3	10	15		
2044	1	1	31	3	10	15		
2045	1	1	31	3	10	15		
2046	1	1	31	3	10	15		
2047	1	1	31	3	10	15		
2048	1	1	31	3	10	15		
2049	1	1	31	3	10	15		
2050	1	1	31	3	10	15		
2051	1	1	31	3	10	15		
2052	1	1	31	3	10	15		
2053	1	1	31	3	10	15		
2054	1	1	31	3	10	15		
2081	1	1	31	3	10	15		
2083	1	1	31	3	70	80		
2084	1	1	31	3	70	80		
2085	1	1	31	3	70	80		
2086	1	1	31	3	70	80		
2087	1	1	31	3	70	80		
2088	1	1	31	3	70	80		
2089	1	1	31	3	70	80		
2090	1	1	31	3	70	80		
2091	1	1	31	3	70	80		
2092	1	1	31	3	70	80		
2093	1	1	31	3	70	80		
2094	1	1	31	3	70	80		
2095	1	1	31	3	70	80		
2096	1	1	31	3	70	80		
2097	1	1	31	3	70	80		
2098	1	1	31	3	70	80		
2099	1	1	31	3	70	80		
2100	1	1	31	3	70	80		
2101	1	1	31	3	70	80		
2102	1	1	31	3	70	80		
2116	1	1	31	3	70	80		
2117	1	1	31	3	70	80		
2118	1	1	31	3	70	80		
2119	1	1	31	3	70	80		
2120	1	1	31	3	70	80		
2121	1	1	31	3	70	80		
2122	1	1	31	3	70	80		
2123	1	1	31	3	70	80		
2124	1	1	31	3	70	80		
2125	1	1	31	3	70	80		
2126	1	1	31	3	70	80		
2127	1	1	31	3	70	80		
2128	1	1	31	3	70	80		
2129	1	1	31	3	70	80		
2130	1	1	31	3	70	80		
2131	1	1	31	3	70	80		
2132	1	1	31	3	70	80		
2133	1	1	31	3	70	80		
2134	1	1	31	3	70	80		
2135	1	1	31	3	70	80		
2136	1	1	31	3	70	80		
2137	1	1	31	3	70	80		
2138	1	1	31	3	70	80		
2139	1	1	31	3	70	80		
2140	1	1	31	3	70	80		
2141	1	1	31	3	70	80		
2142	1	1	31	3	70	80		
2143	1	1	31	3	70	80		
2144	1	1	31	3	70	80		
2145	1	1	31	3	70	80		
2146	1	1	31	3	70	80		
2147	1	1	31	3	70	80		
2148	1	1	31	3	70	80		
2149	1	1	31	3	70	80		
2150	1	1	31	3	70	80		
2151	1	1	31	3	70	80		
2152	1	1	31	3	70	80		
2153	1	1	31	3	70	80		
2154	1	1	31	3	70	80		
2155	1	1	31	3	70	80		
2156	1	1	31	3	70	80		
2157	1	1	31	3	70	80		
2158	1	1	31	3	70	80		
2159	1	1	31	3	70	80		
2160	1	1	31	3	70	80		
2161	1	1	31	3	70	80		
2162	1	1	31	3	70	80		
2163	1	1	31	3	70	80		
2164	1	1	31	3	70	80		
2165	1	1	31	3	70	80		
2166	1	1	31	3	70	80		
2167	1	1	31	3	70	80		
2168	1	1	31	3	70	80		
2169	1	1	31	3	70	80		
2170	1	1	31	3	70	80		
2171	1	1	31	3	70	80		
2172	1	1	31	3	70	80		
2173	1	1	31	3	70	80		
2174	1	1	31	3	70	80		
2175	1	1	31	3	70	80		
2176	1	1	31	3	70	80		
2177	1	1	31	3	70	80		
2178	1	1	31	3	70	80		
2179	1	1	31	3	70	80		
2180	1	1	31	3	70	80		
2181	1	1	31	3	70	80		
2182	1	1	31	3	70	80		
2183	1	1	31	3	70	80		
2184	1	1	31	3	70	80		
2185	1	1	31	3	70	80		
2186	1	1	31	3	70	80		
2187	1	1	31	3	70	80		
2188	1	1	31	3	70	80		
2189	1	1	31	3	70	80		
2190	1	1	31	3	70	80		
2195	1	1	31	3	70	80		
2196	1	1	31	3	70	80		
2197	1	1	31	3	70	80		
2198	1	1	31	3	70	80		
2199	1	1	31	3	70	80		
2200	1	1	31	3	70	80		
2201	1	1	31	3	70	80		
2202	1	1	31	3	70	80		
2203	1	1	31	3	70	80		
2204	1	1	31	3	70	80		
2205	1	1	31	3	70	80		
2206	1	1	31	3	70	80		
2207	1	1	31	3	70	80		
2208	1	1	31	3	70	80		
2209	1	1	31	3	70	80		
2210	1	1	31	3	70	80		
2212	1	1	31	3	70	80		
2213	1	1	31	3	70	80		
2214	1	1	31	3	70	80		
2215	1	1	31	3	70	80		
2216	1	1	31	3	70	80		
2217	1	1	31	3	70	80		
2218	1	1	31	3	70	80		
2219	1	1	31	3	70	80		
2220	1	1	31	3	70	80		
2221	1	1	31	3	70	80		
2222	1	1	31	3	70	80		
2223	1	1	31	3	70	80		
2224	1	1	31	3	70	80		
2225	1	1	31	3	70	80		
2261	1	1	31	3	70	80		
2262	1	1	31	3	70	80		
2263	1	1	31	3	70	80		
2264	1	1	31	3	70	80		
2265	1	1	31	3	70	80		
2266	1	1	31	3	70	80		
2267	1	1	31	3	70	80		
2268	1	1	31	3	70	80		
2269	1	1	31	3	70	80		
2270	1	1	31	3	70	80		
2271	1	1	31	3	70	80		
2272	1	1	31	3	70	80		
2273	1	1	31	3	70	80		
2274	1	1	31	3	70	80		
2275	1	1	31	3	70	80		
2276	1	1	31	3	70	80		
2277	1	1	31	3	70	80		
2321	1	1	31	3	70	80		
2322	1	1	31	3	70	80		
2323	1	1	31	3	70	80		
2324	1	1	31	3	70	80		
2325	1	1	31	3	70	80		
2326	1	1	31	3	70	80		
2327	1	1	31	3	70	80		
2328	1	1	31	3	70	80		
2329	1	1	31	3	70	80		
2330	1	1	31	3	70	80		
2331	1	1	31	3	70	80		
2332	1	1	31	3	70	80		
2333	1	1	31	3	70	80		
2334	1	1	31	3	70	80		
2335	1	1	31	3	70	80		
2336	1	1	31	3	70	80		
2337	1	1	31	3	70	80		
2338	1	1	31	3	70	80		
2339	1	1	31	3	70	80		
2350	1	1	31	3	70	80		
2351	1	1	31	3	70	80		
2352	1	1	31	3	70	80		
2354	1	1	31	3	70	80		
2355	1	1	31	3	70	80		
2356	1	1	31	3	70	80		
2357	1	1	31	3	70	80		
2358	1	1	31	3	70	80		
2359	1	1	31	3	70	80		
2360	1	1	31	3	70	80		
2361	1	1	31	3	70	80		
2362	1	1	31	3	70	80		
2363	1	1	31	3	70	80		
2364	1	1	31	3	70	80		
2365	1	1	31	3	70	80		
2366	1	1	31	3	70	80		
2367	1	1	31	3	70	80		
2368	1	1	31	3	70	80		
2369	1	1	31	3	70	80		
70011	1	1	70001		50			
70012	1	1	70002		50			
70021	1	1	70001		50			
70022	1	1	70002		50			
70031	1	1	70001		50			
70032	1	1	70002		50			
70041	1	1	70001		50			
70042	1	1	70002		50			
70051	1	1	70001		50			
70052	1	1	70002		50			
70061	1	1	70001		50			
70062	1	1	70002		50			
70071	1	1	70001		50			
70072	1	1	70002		50			
70081	1	1	70001		50			
70082	1	1	70002		50			
70091	1	1	70001		50			
70092	1	1	70002		50			
70101	1	1	70001		50			
70102	1	1	70002		50			
70111	1	1	70001		50			
70112	1	1	70002		50			
70121	1	1	70001		50			
70122	1	1	70002		50			
70131	1	1	70001		50			
70132	1	1	70002		50			
70141	1	1	70001		50			
70142	1	1	70002		50			
70151	1	1	70001		50			
70152	1	1	70002		50			
70161	1	1	70001		50			
70162	1	1	70002		50			
70171	1	1	70001		50			
70172	1	1	70002		50			
70181	1	1	70001		50			
70182	1	1	70002		50			
70191	1	1	70001		50			
70192	1	1	70002		50			
70201	1	1	70001		50			
70202	1	1	70002		50			
70211	1	1	70001		50			
70212	1	1	70002		50			
70221	1	1	70001		50			
