Id	BeginTimeStr	EndTimeStr	Keyword[1]	Keyword[2]	Keyword[3]	Path[1]	Weight[1]	Path[2]	Weight[2]	Path[3]	Weight[3]	Path[4]	Weight[4]	CoolTime	TriggerType	Channel[1]	Channel[2]	Channel[3]	Channel[4]	Channel[5]	Channel[6]	Channel[7]
1	2023/1/21 7:00	2023/1/28 6:59	Happy New Year	Good Luck in the New Year	happy new year	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab	20			5	3	1	2	3	4	5	6	7
2	2021/2/11 23:59	2021/2/18 23:59	Happy Lunar New Year	Happy Spring Festival		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab	20			5	3	1	2	3	4	5	6	7
3	2021/2/11 23:59	2021/2/18 23:59	Happy Ox Year	Happy Year of Ox		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhua03.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH01.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH02.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaZH03.prefab	20	5	3	1	2	3	4	5	6	7
4	2021/8/12 23:59	2021/9/27 23:59	Happy Double Seventh Festival	Double Seventh Festival Celebration		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab	30					5	3	1	2	3	4	5	6	7
5	2021/8/12 23:59	2021/9/27 23:59	Happy Double Seventh Festival	Happy Valentine's Day		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab	30					5	3	1	2	3	4	5	6	7
6	2021/8/12 23:59	2021/9/27 23:59	Love	Heart		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaAixin.prefab	20							5	3	1	2	3	4	5	6	7
7	2021/8/12 23:59	2021/9/27 23:59	Bridge of Magpies	The Cowherd and the Weaving Maid		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaQueqiao.prefab	50							5	3	1	2	3	4	5	6	7
8	2021/8/12 23:59	2021/9/27 23:59	Happy Mid-Autumn Festival	Moon Festival Celebration		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaYuebing.prefab	20					5	3	1	2	3	4	5	6	7
9	2021/8/12 23:59	2021/9/27 23:59	Happy Mid-Autumn Festival	Happy Mid-Autumn Festival		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab	20	Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaYuebing.prefab	20					5	3	1	2	3	4	5	6	7
10	2023/1/1 7:00	2023/1/8 6:59	Rabbit	Lantern		Assets/Product/Effect/Prefab/FxUi/FxUiChatServeMain/FxUiChatServeMainYanhuaTuzi.prefab	20							5	3	1	2	3	4	5	6	7
