Id	Disposeable	SingleDisposeable	RecordGroupId	Type	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]	MovieId	Icon	MiniIcon	IconR	Order	ConvertCardId	Name	FightDes	QuickFightDes	ShowTag
1001011				1								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png	Virtual process		[Block]			0
1001021				2								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png	Data corruption		[Advance]			0
1001041	1		3	4	ZX01601BA							Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3001Sp.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3001.png	Story	1001021	Eden Fallen			1
1001051	1		2	5	1001051	1	0					Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5000Sp.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5000.png	Test	1001021	Record: X-779			0
1001101				10								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7001Sp.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze09.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7001.png	Out		Leave			0
1021011				1								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png	Data corruption		Fragmented Data			0
1021012				1								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1001Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1001.png	Data corruption		Fragmented Data			0
1021021				2								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png	Virtual process		Virtual Process			0
1021022				2								Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2001Sp.png		Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2001.png	Virtual process		Virtual Process			0
1021031	1		3	3	10130102						ZX01602EA	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3000Sp.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3000.png	Story	1021021	A Familiar Sight	The virtual space looks completely normal, but there is something hidden underneath.		1
