Id	Name	StartLayerId	LayerId[1]	LayerId[2]	LayerId[3]	LayerId[4]
100	Redundant Block 22-16	1001	1001			
102	Parliament Square	1021	1021	1022	1023	
103	Eden 16-B Leisure Module	1031	1031	1033		
104	Dominik Memorial Park	1041	1041	1043	1044	
105	Tactical Bridge	1051	1051	1052	1053	
202	Zone A Forgotten Streets	2021	2021			
203	Zone B Business District Ruins	2031	2031	2032		
204	Zone C Abandoned Factory	2041	2041	2042		
302	B01 Industrial Sector	3022	3022	3023	3024	
303	B01 Junction Corridor	3031	3031	3032	3033	3034
304	Core Area	3041	3041	3042	3043	
305	A M.I.N.D.	3051	3051	3052		
402	Shattered Valley	4021	4021			
403	Polyphage Left Hand	4031	4031	4032		
404	Polyphage Body	4041	4041	4042	4043	
