Id	Type	NeedSave	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	RewardId	Desc	Icon
100000	1	1	ZX01601BB						Opening Story	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110011	1	1	ZX00000BA						Establish Stronghold	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110012	1		ZX00811BA						Chit-chat	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110013	1	1	ZX01610BA					400523	S.S.D.D	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110021	1	1	ZX01410BA						Side Story Content	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110022	1		ZX01411BA						Side Story Chat	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120000	1	1	ZX01611BA						Opening Story	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120011	1	1	ZX01611BB						Restore Clue	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120012	1		ZZ00106BA						Loop Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120021	1	1	ZZ00107BA						Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120022	1		ZZ00108BA						Loop Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130000	1	1	ZX01625BA						Opening Story	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130011	1	1	ZX01626BA						Red Tide's Guidance	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130012	1		ZZ00110BA						Loop Story 2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130021	1	1	ZX01635BA					400631	Cross the Bridge	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130022	1		ZZ00112BA						Loop Story 2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140000	1	1	ZX01646BA						Opening Story	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140011	1	1	ZX01646BB						A Perfect Disguise?	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140021	1	1	ZZ00116BA						Loop Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
191002	2		191002						Shop	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
192002	2		192002						Shop	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
193002	2		193002						Shop	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
194002	2		194002						Shop	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
13101	1	1	ZZ00101BA					400503	Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13102	1		ZZ00102BA						Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13201	1	1	FZ01606BB					400625	Bandwagon Effect	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13202	1		ZZ00102BA						Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13301	1	1	ZZ00101BA					400503	Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13302	1		ZZ00102BA						Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13401	1	1	FZ01610BB					400503	Gnawing-Away	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13402	1		ZZ00102BA						Key Story 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
30002	3	1	61503	1				400503	Side Story Check 1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
2130011	1	1	FZ01608BA					400630	Ruolin	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
2130021	1	1	FZ01608BC						Echoing Memories	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
