Id	Condition	Name	SubAreaBg	Type	MazeId	SubAreaId[1]	SubAreaId[2]	SubAreaId[3]
100	601000	Redundant Block 22-16		2	100			
101	600008	Buffer Area	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg01.png	1		1001	1002	
102	600008	Parliament Square		2	102			
103	601002	Eden 16-B Leisure Module		2	103			
104	601007	Dominik Memorial Park		2	104			
105	601009	Tactical Bridge		2	105			
201	601012	Support Area	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg03.png	1		2001	2002	2003
202	602001	Zone A Forgotten Streets		2	202			
203	602011	Zone B Business District Ruins		2	203			
204	602020	Zone C Abandoned Factory		2	204			
301	603000	Outer City Ruins	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg05.png	1		3001	3002	3003
302	603001	B01 Industrial Sector		2	302			
303	603006	B01 Junction Corridor		2	303			
304	603010	Core Area		2	304			
305	603012	Deep M.I.N.D.		2	305			
401	603016	Underground Junction	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg07.png	1		4001	4002	4003
402	604001	Shattered Valley		2	402			
403	604011	Polyphage Left Hand		2	403			
404	604012	Polyphage Core		2	404			
