Id	ResetType	Condition	RewardId	ConsumeId	ConsumeCount
1910022	1	601000	400502	61001	300
1910023	1	601000	400503	61001	1000
1910024	1	601000	400504	61001	500
1910025	1	601000	400505	61001	1000
1910026	1	601000	400506	61001	500
1910027	1	601000	400507	61001	1000
1910028	1	601000	400508	61001	500
1910029	1	601000	400509	61001	1000
1910030	1	601000	400520	61001	300
1910031	1	601000	400519	61001	1000
1910032	1	601000	400510	61001	200
1910033	1	601000	400513	61001	200
1910034	1	601000	400516	61001	200
1910035	1	601000	400511	61001	500
1910036	1	601000	400514	61001	500
1910037	1	601000	400517	61001	500
1910038	1	601000	400512	61001	800
1910039	1	601000	400515	61001	800
1910040	1	601000	400518	61001	800
1920021	0	601012	400652	61001	3000
1920022	0	602034	400652	61001	3000
1920023	0	603016	400653	61001	3000
1920024	0	604013	400653	61001	3000
