Id	ItemType	EffectType	TagIcon	Capacity	Params[1]	Params[2]	Params[3]	Params[4]	Desc
61101	1	1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	1				
61102	1	1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	0				
61103	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10001				
61104	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10002				
61105	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10003				
61106	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10004				
61107	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10005				
61108	1	2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagKey.png	5	10006				
61201	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	10	1	3			Combat +3
61202	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	5	1	6			Combat +6
61203	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	3	1	9			Combat +9
61211	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	10	2	3			Perception +3
61212	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	5	2	6			Perception +6
61213	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	3	2	9			Perception +9
61221	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	10	3	3			Arithmetic +3
61222	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	5	3	6			Arithmetic +6
61223	1	3	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGTagStory.png	3	3	9			Arithmetic +9
61301	2			5					
61302	2			5					
61501	2			5					
61502	2			5					
61503	2			5					
61504	2			5					
61505	2			5					
61506	2			5					
61507	2			5					
61508	2			5					
61509	2			5					
61510	2			5					
61511	2			5					
61512	2			5					
61513	2			5					
61521	2			5					
61522	2			5					
61523	2			5					
61524	2			5					
61525	2			5					
61526	2			5					
61527	2			5					
61528	2			5					
61529	2			5					
61530	2			5					
61531	2			5					
61532	2			5					
61533	2			5					
61534	2			5					
61535	2			5					
61536	2			5					
61537	2			5					
61538	2			5					
61539	2			5					
61540	2			5					
61541	2			5					
61542	2			5					
61551	2			5					
61552	2			5					
61553	2			5					
61554	2			5					
61575	2			5					
61576	2			5					
61577	2			5					
61578	2			5					
61579	2			5					
61580	2			5					
61581	2			5					
61582	2			6					
61583	2			5					
61584	2			5					
61585	2			5					
61586	2			5					
61587	2			5					
61588	2			5					
61589	2			5					
61590	2			5					
61591	2			5					
61592	2			5					
61601	2			10					
61602	2			10					
