Id	Type	Name	Desc	Params[1]	Params[2]	Params[3]	Params[4]	AreaIcon	CardIcon
10000	7	Siamese Garden	Enter the [Babylonia] area to explore	100000				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
10009	1	Main Story: <color=#59f5ff>Record [X-779]</color>	Find data record [X-779] while exploring [Redundant Block 22-16].	1001051				Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
11000	1	Main Story: <color=#59f5ff>Eden Fallen</color>	Extract the designated record and follow the guide to activate the [Eden Fallen] event.	1001041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11001	7	Establish Stronghold	Head to the [Data Center] of [Buffer Area] and establish a safe zone.	110011				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13002	3	Main Story: <color=#59f5ff>A Familiar Sight</color>	Explore [Parliament Square] <color=#f5b60b>Lv.1 Area</color> to find how to go deeper into the virtual space.	10130102				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13003	3	Main Story: <color=#59f5ff>Unexpected Bolt</color>	Explore [Eden 16-B Leisure Module] <color=#f5b60b>Lv.1 Area</color> to look for possible clues.	10130103				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11004	1	Main Story: <color=#59f5ff>Fake Friendship</color>	Continue exploring [Eden 16-B Leisure Module] <color=#f5b60b>Lv.1 Area</color> to look for the source of target signal.	1031042				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11005	1	Main Story: <color=#59f5ff>Profile of Bait</color>	Explore [Eden 16-B Leisure Module] <color=#f5b60b>Lv.1 Area</color> further to tract the target.	1032041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11006	1	Main Story: <color=#59f5ff>Compromised Code</color>	Explore [Eden 16-B Leisure Module] <color=#f5b60b>Lv.1 Area</color> and unlock the three data blockades left by the target.	1032055				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
11007	1	Main Story: <color=#59f5ff>Fragile Relationship</color>	Continue exploring [Eden 16-B Leisure Module] <color=#f5b60b>Lv.1 Area</color> further to look for possible clues.	1032045				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13008	3	Main Story: <color=#59f5ff>Breaking a Deadlock</color>	Explore [Dominik Memorial Park] <color=#f5b60b>Lv.1 Area</color> to track the target.	10130105				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11009	1	Main Story: <color=#59f5ff>Shutting</color>	Continue exploring [Dominik Memorial Park] <color=#f5b60b>Lv.1 Area</color> to look for possible clues.	1042041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13011	3	Main Story: <color=#59f5ff>"Huaxu"</color>	Go to [Tactical Bridge] and reach Huaxu's location.	10130107				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11012	7	Main Story: <color=#59f5ff>S.S.D.D</color>	Return to the [Buffer Area] and prepare to leave the virtual space.	110013				Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
20000	7	Main Story: <color=#59f5ff>Deserted Ruins</color>	Enter [Deserted Ruins (New Area)] to explore	120000				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21001	7	Main Story: <color=#59f5ff>Restore Clue</color>	Head to the Supply Carriage in [Support Area] and complete Event [Restore Clue].	120011				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21002	1	Main Story: <color=#59f5ff>Enemies in Sight</color>	Head to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Enemies in Sight].	2021041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21003	1	Main Story: <color=#59f5ff>Origin of Tide</color>	Head to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Origin of Tide].	2021051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21083	1	Main Story: <color=#59f5ff>Undefeated</color>	Head to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Undefeated].	2021052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21084	1	Main Story: <color=#59f5ff>Alternate Route</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Alternate Route]	2021053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
23004	3	Main Story: <color=#59f5ff>Crimson Tide</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Crimson Tide]	10130110				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21005	1	Main Story: <color=#59f5ff>Shades of the Past</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] to investigate	2022041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
