Id	Condition	FunctionId[1]	FunctionId[2]	FunctionId[3]	FunctionId[4]	FunctionId[5]
11000	601000	100000				
11002	601002	110021	110022			
11003	601011	110013				
12000	601012	120000				
12001	602000	120011				
12002	601011	120021	120022			
13000	602034	130000				
13001	601000	130011				
13002	603008	130021				
14000	603016	140000				
14001	603016	140011				
14002	604001	140021				
191002	601000	191002				
192002	772100	192002				
193002	772100	193002				
194002	772100	194002				
131001	601002	13101	13102			
132001	622201	13201				
133001	772100	13301	13302			
134001	624101	13401				
300002	609001	30002				
213001	603000	2130011				
213002	623102	2130021				
