Id	Name	Type	FightEvent	Icon	Description	AbilityBonus
1	Support Healing	1	110503	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	HP+1000, ATK+200.\nTrigger QTE to add one continuous buff to yourself, lasting for 4s, restoring HP equal to 1.5% of max HP per second. Buff duration refreshes on repeated triggers.	600
2	Rapid Signature	1	110505	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	HP+1000, ATK+200.\nPing 1 Orb to obtain 1 extra Energy. Signature DMG increases by 45%.	600
3	Matrix Protect	1	110618	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	HP+1000, ATK+200.\nCD time of Matrix reduces by 2s. Obtain 1 random Signal Orb when entering it.	600
4	Switch Traps	1	110616	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	HP+1000, ATK+200.\nEach substitution will add Curse effect to all enemies around, dealing damage equal to 120% ATK per second for 8s. Buff duration refreshes on repeated triggers.	600
5	Signature Buff	1	110608	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	HP+1000, ATK+200.\nAfter casting Signature, gain a shield that absorbs damage equal to 15% of max HP, 20% Extra Damage, and Super Armor for 8s.	600
6	Intensity Response	1	110501	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	HP+1000, ATK+200.\nHealing effect increases by 15%. Increases the Extra Damage Bonus of targets healed by 20% for 5s.	600
7	Switch Buff	1	110509	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	Health +1000, HP +200.\nReduces the cooldown of switching between members by 3s, and immediately gains 3 same-colored Signal Orbs after switching to another member.	600
8	Memory Chip: Hanna	1	110511	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	HP+1000, ATK+200.\nIncreases Extra DMG Bonus by 25% upon a 3-Ping. For every 30s, enters Matrix upon a 3-Ping and gains 1 random Signal Orb.	600
9	Signal Buff	1	110617	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	HP+1000, ATK+200.\nAutomatically adds 3 Signal Orbs of the same color to the character every 3s.	600
101	Support Shield	1	110601	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22120.png	HP+1000, ATK+200.\nAdds a shield equal to 10% of max HP for 3s in QTE. The shield cannot be stacked. Can repeatedly trigger refresh duration.	600
102	Matrix Protect	1	110618	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	HP+1000, ATK+200.\nCD time of Matrix reduces by 2s, and give 1 random Signal Orb when entering it.	600
103	Dodge Buff	1	110507	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	HP+1000, ATK+200.\nDodge Gauge limit increases to 400, and obtain 1 signal orb when dodge is complete.	600
104	Intensity Shield	1	110612	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	HP+1000, ATK+200.\nAdds a shield equal to 1%/2%/4% of max HP for 8s upon a 1-Ping/2-Ping/3-Ping. This shield cannot be stacked, but can provide Super Armor in whole course.	600
105	Switch Buff	1	110509	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	Health +1000, HP +200.\nReduces the cooldown of switching between members by 3s, and immediately gains 3 same-colored Signal Orbs after switching to another member.	600
106	Shield Activization	1	110605	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	HP+1000, ATK+200.\nFor every 1000 shields, three orbs of the same color can be obtained.	600
107	Follow-Up	1	110611	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22050.png	HP+1000, ATK+200.\nEvery damage dealt will deal 1 extra damage, equal to 20% of the original attack. This damage will also be counted toward the total combo.	600
108	Super Shield	1	110609	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png	HP+1000, ATK+200.\nThe number of shield is doubled, and gain 100% Extra DMG Bonus.	600
109	Anchor Mark	1	110516	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21101.png	HP+1000, ATK+200.\nCombo hits up to 200 will add a marked buff to the enemy for 8s. The marked buff will record the damage taken by the enemies during this period, and at the end of the buff, it will deal "damage taken x2" damage to the enemies during the duration of the buff.	600
1001	Abandoned function	2	110113	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Gains 1 Red Orb in every 3s.	0
1002	Abandoned function	2	110114	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	Gains 1 Yellow Orb in every 3s.	0
1003	Abandoned function	2	110115	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gains 1 Blue Orb in every 3s.	0
