Id	OperationKey	OperationType	RecommendXboxIco[1]	RecommendXboxIco[2]	RecommendPsIco[1]	RecommendPsIco[2]	RecommendKeyboardIco[1]	RecommendKeyboardIco[2]	RecommendOtherIco[1]	RecommendOtherIco[2]
1	1	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon8.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon8.png					
2	2	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon6.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon6.png					
3	3	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon7.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon7.png					
4	4	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon5.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon5.png					
5	5	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon8.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon8.png				
6	6	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon6.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon6.png				
7	7	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon7.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon7.png				
8	8	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon5.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon5.png				
9	15	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon16.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon16.png					
10	16	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon9.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon9.png					
11	17	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon17.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon17.png					
12	18	1								
13	20	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon1.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon1.png					
14	21	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon2.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon2.png					
15	23	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon3.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon3.png					
16	28	1								
17	29	1								
18	128	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon11.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon11.png					
19	129	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon12.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon12.png					
20	130	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon13.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon13.png					
21	131	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon14.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon14.png					
22	132	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon18.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon18.png					
23	133	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon19.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon19.png					
24	134	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon20.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon20.png					
25	135	1	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon21.png		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon21.png					
26	136	1								
27	137	1								
28	138	1								
29	139	1								
30	140	1								
