UiName	BtnName[1]	ClickType[1]	OperationType[1]	KeyCode[1]	BtnName[2]	ClickType[2]	OperationType[2]	KeyCode[2]	BtnName[3]	ClickType[3]	OperationType[3]	KeyCode[3]	BtnName[4]	ClickType[4]	OperationType[4]	KeyCode[4]	BtnName[5]	ClickType[5]	OperationType[5]	KeyCode[5]
UiMovie	PanelDialog	1	4	145	BtnSkip	1	4	144	BtnAuto	1	4	143	BtnReview	1	4	142				
UiMovieReview	BtnClose	1	4	141																
UiDialogCanvasDialog	BtnClose	1	4	148	BtnConfirm	1	4	149												
UiDialogExitGame	BtnClose	1	4	148	BtnConfirm	1	4	149												
UiSystemDialog	BtnClose	1	4	148	BtnConfirm	1	4	149												
UiDialog	BtnClose	1	4	148	BtnConfirm	1	4	149												
UiVideoPlayer	BtnAuto	1	3	1	BtnSkip	1	3	2												
UiChatServeMain	BtnSend	1	4	155																
UiGuildDormMain	up	1	4	1156	down	1	4	1157	left	1	4	1158	right	1	4	1159	BtnChat	1	4	155
UiMain	BtnChat	1	4	155																
UiMultiplayerRoom	BtnChat	1	4	155																
UiMentorMain	BtnChat	1	4	155																
UiGuildBuild	BtnCancel	1	4	148	BtnConfirm	1	4	149												
UiGuildMain	BtnChat	1	4	155																
UiFightQuartet	Up	2	1	128	Down	2	1	129	Left	2	1	130	Right	2	1	131				
