Id	GroupId	CharacterId	MailId	ArchiveMailId	CommunicationId
1	1	1011002	102001	151	1063
2	1	1011003	102001	151	1063
3	2	1021001	102002	152	1064
4	2	1021002	102002	152	1064
5	2	1021004	102002	152	1064
6	3	1031001	102003	153	1065
7	3	1031002	102003	153	1065
8	3	1031003	102003	153	1065
9	3	1031004	102003	153	1065
10	4	1041002	102004	154	1066
11	4	1041003	102004	154	1066
12	5	1051001	102005	155	1067
13	5	1051003	102005	155	1067
14	5	1051004	102005	155	1067
15	6	1061002	102006	156	1068
16	6	1061003	102006	156	1068
17	7	1071002	102007	157	1069
18	7	1071003	102007	157	1069
19	8	1081002	102008	158	1070
20	8	1081003	102008	158	1070
21	9	1091002	102009	159	1071
22	10	1111002	102010	160	1072
23	11	1121002	102011	161	1073
24	11	1121003	102011	161	1073
25	12	1131002	102012	162	1074
26	12	1131003	102012	162	1074
27	13	1141003	102013	163	1075
28	14	1161002	102014	164	1076
29	15	1171003	102015	165	1077
30	16	1211002	102016	166	1078
31	17	1221002	102017	167	1079
32	18	1511003	102018	168	1080
33	19	1521003	102019	169	1081
34	20	1531003	102020	170	1082
35	20	1531004	102020	170	1082
36	21	1541003	102021	171	1083
37	22	1551003	102022	172	1084
38	23	1561003	102023	173	1085
39	24	1021003	102024	174	1086
40	7	1071004	102007	157	1069
