Id	Desc[0]	Desc[1]	Desc[2]	Desc[3]	Desc[4]
1	We collected <color=#0F70BC>{0}</color> in the camp yesterday. We can get supplies from ruins, or from building supply depot and medical depot.	Yesterday went really well. We got <color=#0F70BC>{0}</color> in the camp. Build more resource buildings to increase the production.	We collected <color=#0F70BC>{0}</color> last night. As long as we have enough manpower, more buildings will generate more income.		
2	The exploration team has returned with <color=#0F70BC>{0}</color>.	The exploration team has returned to the camp with lots of useful things, including <color=#0F70BC>{0}</color>.	The explorers have returned. They brought us many resources and manpower: <color=#0F70BC>{0}</color>.		
3	Another <color=#0F70BC>{0}</color> passed away yesterday. But that number is just a fraction of the already large number of victims, isn't it?	Another <color=#0F70BC>{0}</color> passed away over the night... This will impact our morale as well as the production in the camp.			
4	Many people are still homeless. We need to build more residences, otherwise the cold weather will further impact their vitality.	The cold weather will reduce people's energy. Many are complaining about not having a place to live. We need more residences.	Some people are still homeless. Explore or dig the ruins to get basic construction materials to build residences.	We need more residences. As long as we have enough construction materials and manpower, we can build a residence.	
5	Many people are still sick. Give them medicine or residence to help them recover.	Quite a few people are sick. When their health drops too low, they will die. The residents who have received medicine will have their health recovered.	Many people have poor health. To make their health recover, we must ensure everyone has got medicine.		
6	Many people are starving... Do we have enough food left? Let's give out some to them.	The shortage of food is still a problem. People's health is impacted when their satiety is too low.	There are still many people starving. You can build a supply depot for stable food production.		
7	The people are feeling very exhausted and down. Maybe it's time to do something.	The people are getting worn out every day. We need to do something to cheer them up.			
8	The camp is poorly furnished, but at least we can ensure everyone has a place to live. Keep it up.				
9	The people may be exhausted, but at least they are healthy. We can keep them that way as long as we have enough medicine.	The people are generally healthy. We can keep them that way as long as we have a stable supply of medicine.	The medical depot provides a stable supply of medicine, which can keep people healthy.		
10	The situation is dire, but we manage to keep basic food supply for everybody. No one is starving at the moment.				
11	Even at this time, they are not giving up. Let's try our best.	We are low on supplies, but at least people are in good spirit... Perhaps that's one of the few pieces of good news left.			
12	We didn't get anything yesterday... Build more resource buildings and assign people to work in them to earn more resources.	Last night was a peaceful one. Build more resource buildings and assign people to work in them, so we can earn a fixed amount of resources every day.			
