StageId	TotalMaxScore	DamageFactor	DamageMaxScore	HpFactor	HpMaxScore	UseTimeFactor	UseTimeMaxScore
30140050		0.1		10000	10000	500	40000
30140051		0.1		10000	10000	500	40000
30140052		0.1		10000	10000	500	40000
30140053		0.1		10000	10000	500	40000
30140054		0.1		10000	10000	500	40000
30140055		0.3		20000	20000	1000	80000
30140056		0.3		20000	20000	1000	80000
30140060		0.1		10000	10000	500	40000
30140061		0.1		10000	10000	500	40000
30140062		0.3		20000	20000	1000	80000
30140063		0.3		20000	20000	1000	80000
