Id	GroupId	Weight	Type	ResType	RecHpPer	FightStageId	RewardPoolId	RewardCount	EventPoolId	SubHpProbability	SubHpMinPer	SubHpMaxPer	ShowRewardId	RewardMoneyCount	UseActionPoint
10001	1	100000	1	1											0
10002	1	100000	1	1											0
10003	1	100000	1	1											0
10004	1	100000	1	1											0
10005	1	100000	1	1											0
10006	1999	100000	3	303		30140121	1	3					390216		1
10007	1999	100000	3	303		30140122	1	3					390216		1
10008	1999	100000	3	303		30140124	1	3					390216		1
10009	1999	100000	3	303		30140125	1	3					390216		1
10010	1999	100000	3	303		30140126	1	3					390216		1
10011	2999	100000	3	303		30140221	2	3					390216		1
10012	2999	100000	3	303		30140222	2	3					390216		1
10013	2999	100000	3	303		30140223	2	3					390216		1
10014	2999	100000	3	303		30140224	2	3					390216		1
10015	2999	100000	3	303		30140225	2	3					390216		1
10016	2999	100000	3	303		30140226	2	3					390216		1
10017	2999	100000	3	303		30140227	2	3					390216		1
10018	2999	100000	3	303		30140228	2	3					390216		1
10019	2999	100000	3	303		30140229	2	3					390216		1
10020	2999	100000	3	303		30140230	2	3					390216		1
10021	3999	100000	3	303		30140321	8	3					390216		1
10022	3999	100000	3	303		30140322	8	3					390216		1
10023	3999	100000	3	303		30140324	8	3					390216		1
10024	3999	100000	3	303		30140325	8	3					390216		1
10025	3999	100000	3	303		30140326	8	3					390216		1
10026	4999	100000	3	303		30140421	3	3					390216		1
10027	4999	100000	3	303		30140422	3	3					390216		1
10028	4999	100000	3	303		30140423	3	3					390216		1
10029	4999	100000	3	303		30140424	3	3					390216		1
10030	4999	100000	3	303		30140425	3	3					390216		1
10031	4999	100000	3	303		30140426	3	3					390216		1
10032	4999	100000	3	303		30140427	3	3					390216		1
10033	4999	100000	3	303		30140428	3	3					390216		1
10034	4999	100000	3	303		30140429	3	3					390216		1
10035	4999	100000	3	303		30140430	3	3					390216		1
10036	5999	100000	3	303		30140521	3	3					390216		1
10037	5999	100000	3	303		30140522	3	3					390216		1
10038	5999	100000	3	303		30140524	3	3					390216		1
10039	5999	100000	3	303		30140525	3	3					390216		1
10040	5999	100000	3	303		30140526	3	3					390216		1
10041	2	100000	2	2	100										1
10042	2	100000	2	2	100										1
10043	2	100000	2	2	100										1
10044	2	100000	2	2	100										1
10045	2	100000	2	2	100										1
10046	2	100000	2	2	100										1
10047	2	100000	2	2	100										1
10048	2	100000	2	2	100										1
10049	1112	10000000	5	5			2	1							1
10050	1112	10000000	9	9						3000	2	8	390101	35	1
10051	1112	1000	3	301		30140131	1	3					390216		1
10052	1112	1000	3	301		30140101	1	3					390216		1
10053	1112	1000	3	301		30140107	1	3					390216		1
10054	1112	1000	3	301		30140109	1	3					390216		1
10055	1112	1000	3	301		30140110	1	3					390216		1
10056	1112	1000	3	301		30140111	1	3					390216		1
10057	1112	1000	3	301		30140112	1	3					390216		1
10058	1112	100000	8	8					10001						1
10059	1112	100000	8	8					10002						1
10060	1112	100000	8	8					10003						1
10061	1112	100000	8	8					10023						1
10062	1112	100000	7	7					20002						1
10063	1112	100000	7	7					20020						1
10064	1112	100000	7	7					20010						1
10065	1112	100000	7	7					20017						1
10066	1119	10000000	9	9						3000	2	8	390101	35	1
10067	1119	10000000	6	6			2	4							1
10068	1119	1000	3	302		30140132	1	3					390216		1
10069	1119	1000	3	302		30140113	1	3					390216		1
10070	1119	1000	3	302		30140117	1	3					390216		1
10071	1119	1000	3	302		30140120	1	3					390216		1
10072	1119	100000	8	8					10005						1
10073	1119	100000	8	8					10020						1
10074	1119	100000	8	8					10021						1
10075	1119	100000	7	7					20001						1
10076	1119	100000	7	7					20002						1
10077	1119	100000	7	7					20020						1
10078	11114	10000000	4	4			1	4							1
10079	11114	1000	3	301		30140131	1	3					390216		1
10080	11114	1000	3	301		30140101	1	3					390216		1
10081	11114	1000	3	301		30140107	1	3					390216		1
10082	11114	1000	3	301		30140109	1	3					390216		1
10083	11114	1000	3	301		30140110	1	3					390216		1
10084	11114	1000	3	301		30140111	1	3					390216		1
10085	11114	1000	3	301		30140112	1	3					390216		1
10086	11114	1000	3	302		30140132	1	3					390216		1
10087	11114	1000	3	302		30140113	1	3					390216		1
10088	11114	1000	3	302		30140117	1	3					390216		1
10089	11114	1000	3	302		30140120	1	3					390216		1
10090	11114	1000	8	8					10001						1
10091	11114	1000	8	8					10002						1
