Id	GroupId	Diff	Name	Icon	JoinNum	UpNum	DownNum	UpMailId	KeepMailId	DownMailId	ShowScoreGap	ShowScoreLimit
1	1	1	Ephemeris	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv1.png	21	15	0	50002	50001		15000	15000
2	1	2	Purgatory	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv2.png	18	6	6	50003	50002	50001	15000	15000
3	1	3	Apogee	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv3.png	18	6	6	50004	50003	50002	15000	15000
4	1	4	Formless	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv4.png	15	3	6	50005	50004	50003	15000	15000
5	1	5	Masses	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv5.png	15	0	6		50005	50004	15000	15000
6	2	1	Ephemeris	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv1.png	21	15	0	50002	50001		15000	15000
7	2	2	Purgatory	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv2.png	18	6	6	50003	50002	50001	15000	15000
8	2	3	Apogee	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv3.png	18	6	6	50004	50003	50002	15000	15000
9	2	4	Formless	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv4.png	15	3	6	50005	50004	50003	15000	15000
10	2	5	Masses	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv5.png	15	3	6	50006	50005	50004	15000	15000
11	2	6	Galore	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreIconLv6.png	15	0	9		50006	50005	15000	15000
