Id	ShopId	Weight	Cost	CoreId	CoreLevel	LimitCount
1	1	100	45	1001	1	1
2	1	100	45	1002	1	1
3	1	100	45	1003	1	1
4	1	100	45	1004	1	1
5	1	100	45	1005	1	1
6	1	100	45	1006	1	1
7	2	100	45	1001	1	1
8	2	100	45	1002	1	1
9	2	100	45	1003	1	1
10	2	100	45	1004	1	1
11	2	100	45	1005	1	1
12	2	100	45	1006	1	1
13	2	100	60	2001	1	1
14	2	100	60	2002	1	1
15	2	100	60	2003	1	1
16	2	100	60	2004	1	1
17	2	100	60	2005	1	1
18	2	100	60	2006	1	1
19	2	100	60	2007	1	1
20	2	100	60	2008	1	1
21	2	100	60	2009	1	1
22	2	100	60	2010	1	1
23	2	100	60	2011	1	1
24	2	100	60	2012	1	1
25	2	100	60	2013	1	1
26	2	100	60	2014	1	1
27	2	100	60	2015	1	1
28	2	100	60	2016	1	1
29	2	100	60	2017	1	1
30	2	100	60	2018	1	1
31	3	100	60	2001	1	1
32	3	100	60	2002	1	1
33	3	100	60	2003	1	1
34	3	100	60	2004	1	1
35	3	100	60	2005	1	1
36	3	100	60	2006	1	1
37	3	100	60	2007	1	1
38	3	100	60	2008	1	1
39	3	100	60	2009	1	1
40	3	100	60	2010	1	1
41	3	100	60	2011	1	1
42	3	100	60	2012	1	1
43	3	100	60	2013	1	1
44	3	100	60	2014	1	1
45	3	100	60	2015	1	1
46	4	100	60	2001	1	1
47	4	100	60	2002	1	1
48	4	100	60	2003	1	1
49	4	100	60	2004	1	1
50	4	100	60	2005	1	1
51	4	100	60	2006	1	1
52	4	100	60	2007	1	1
53	4	100	60	2008	1	1
54	4	100	60	2009	1	1
55	4	100	60	2010	1	1
56	4	100	60	2011	1	1
57	4	100	60	2012	1	1
58	4	100	60	2013	1	1
59	4	100	60	2014	1	1
60	4	100	60	2015	1	1
61	4	100	60	2016	1	1
62	4	100	60	2017	1	1
63	4	100	60	2018	1	1
64	4	100	75	3001	1	1
65	4	100	75	3002	1	1
66	4	100	75	3024	1	1
67	4	100	75	3004	1	1
68	4	100	75	3005	1	1
69	4	100	75	3006	1	1
70	4	100	75	3007	1	1
71	4	100	75	3008	1	1
72	4	100	75	3025	1	1
73	4	100	75	3010	1	1
74	4	100	75	3011	1	1
75	4	100	75	3013	1	1
76	4	100	75	3014	1	1
77	4	100	75	3015	1	1
78	4	100	75	3016	1	1
79	4	100	75	3017	1	1
80	4	100	75	3018	1	1
81	4	100	75	3019	1	1
82	4	100	75	3023	1	1
83	4	100	75	3021	1	1
84	4	100	75	3022	1	1
85	5	100	75	3001	1	1
86	5	100	75	3002	1	1
87	5	100	75	3024	1	1
88	5	100	75	3004	1	1
89	5	100	75	3005	1	1
90	5	100	75	3006	1	1
91	5	100	75	3007	1	1
92	5	100	75	3008	1	1
93	5	100	75	3025	1	1
94	5	100	75	3010	1	1
95	5	100	75	3011	1	1
96	5	100	75	3013	1	1
97	5	100	75	3014	1	1
98	5	100	75	3015	1	1
99	5	100	75	3016	1	1
100	5	100	75	3017	1	1
101	5	100	75	3018	1	1
102	5	100	75	3019	1	1
103	5	100	75	3023	1	1
104	5	100	75	3021	1	1
105	5	100	75	3022	1	1
