Id	Quality	MaxLevel	Name	Icon
1001	4	3	Reinforced Gear	Assets/Product/Texture/Image/UiInfestorExplore/Equip001.png
1002	4	1	Backup Core	Assets/Product/Texture/Image/UiInfestorExplore/Equip010.png
1003	4	3	Repair Adhesive	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png
1004	4	3	Reinforced Wall	Assets/Product/Texture/Image/UiInfestorExplore/Equip013.png
1005	4	3	Universal Parts	Assets/Product/Texture/Image/UiInfestorExplore/Equip014.png
1006	4	3	Field Repair	Assets/Product/Texture/Image/UiInfestorExplore/Equip015.png
2001	5	3	Fuel Purification	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png
2002	5	3	Improved Circuitry	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png
2003	5	3	Radiator Grill	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png
2004	5	3	Radiation Boost	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png
2005	5	3	Enhanced Strike	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png
2006	5	3	Power Boost	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png
2007	5	3	ReaxFF	Assets/Product/Texture/Image/UiInfestorExplore/Equip016.png
2008	5	3	Reinforced Armor	Assets/Product/Texture/Image/UiInfestorExplore/Equip021.png
2009	5	3	Protective Field	Assets/Product/Texture/Image/UiInfestorExplore/Equip022.png
2010	5	3	Refined Prototype	Assets/Product/Texture/Image/UiInfestorExplore/Equip025.png
2011	5	3	Battle Suppression	Assets/Product/Texture/Image/UiInfestorExplore/Equip028.png
2012	5	3	Aim Assist	Assets/Product/Texture/Image/UiInfestorExplore/Equip030.png
2013	5	3	Hyper Processor	Assets/Product/Texture/Image/UiInfestorExplore/Equip032.png
2014	5	3	Link Mk.2	Assets/Product/Texture/Image/UiInfestorExplore/Equip038.png
2015	5	3	Link Mk.3	Assets/Product/Texture/Image/UiInfestorExplore/Equip039.png
2016	5	3	No Way Back	Assets/Product/Texture/Image/UiInfestorExplore/Equip042.png
2017	5	3	Seamless Connection	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png
2018	5	3	Shared Intelligence	Assets/Product/Texture/Image/UiInfestorExplore/Equip045.png
3001	6	3	Action Manager	Assets/Product/Texture/Image/UiInfestorExplore/Equip002.png
3002	6	3	New Capacitor	Assets/Product/Texture/Image/UiInfestorExplore/Equip003.png
3003	6	3	Quick Charge	Assets/Product/Texture/Image/UiInfestorExplore/Equip004.png
3004	6	3	Sticky Bomb	Assets/Product/Texture/Image/UiInfestorExplore/Equip017.png
3005	6	3	Attitude Spout	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png
3006	6	3	Potential Control	Assets/Product/Texture/Image/UiInfestorExplore/Equip019.png
3007	6	3	Sonic Barrier	Assets/Product/Texture/Image/UiInfestorExplore/Equip020.png
3008	6	3	Shield Strategy	Assets/Product/Texture/Image/UiInfestorExplore/Equip023.png
3009	6	3	Systems Learning	Assets/Product/Texture/Image/UiInfestorExplore/Equip024.png
3010	6	3	Signal Mk.1	Assets/Product/Texture/Image/UiInfestorExplore/Equip026.png
3011	6	3	Signal Mk.2	Assets/Product/Texture/Image/UiInfestorExplore/Equip027.png
3012	6	1	Microwave Field	Assets/Product/Texture/Image/UiInfestorExplore/Equip029.png
3013	6	3	High-voltage Arc	Assets/Product/Texture/Image/UiInfestorExplore/Equip031.png
3014	6	3	Feedback Processor	Assets/Product/Texture/Image/UiInfestorExplore/Equip033.png
3015	6	3	Weakness Scan	Assets/Product/Texture/Image/UiInfestorExplore/Equip034.png
3016	6	3	Face Suppression	Assets/Product/Texture/Image/UiInfestorExplore/Equip035.png
3017	6	3	Shock Wave Lead	Assets/Product/Texture/Image/UiInfestorExplore/Equip036.png
3018	6	3	Link Mk.1	Assets/Product/Texture/Image/UiInfestorExplore/Equip037.png
3019	6	3	Radioactive Dust	Assets/Product/Texture/Image/UiInfestorExplore/Equip040.png
3020	6	3	Embrittlement	Assets/Product/Texture/Image/UiInfestorExplore/Equip041.png
3021	6	3	Squad Coverage	Assets/Product/Texture/Image/UiInfestorExplore/Equip044.png
3022	6	3	Artillery Coverage	Assets/Product/Texture/Image/UiInfestorExplore/Equip046.png
3023	6	3	Tactical Interference	Assets/Product/Texture/Image/UiInfestorExplore/Equip047.png
3024	6	1	Quick Charge	Assets/Product/Texture/Image/UiInfestorExplore/Equip004.png
3025	6	1	Systems Learning	Assets/Product/Texture/Image/UiInfestorExplore/Equip024.png
