Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30060104	30060104	公会战有限波数模板			0.15		15	1	9	300601040			0|0|0			0|0|0		
30060105	30060105	公会战限时无限波模板			0.15		15	1	9	300601050			0|0|0			0|0|0		
30060106	30060106	公会战普通节点1-1（简单轮次/2波）			0.15		15	102	9	300601060			0|0|0			0|0|0		
30060107	30060107	公会战普通节点1-2（简单轮次/3波）			0.15		15	101	9	300601070			0|0|0			0|0|0		
30060108	30060108	公会战普通节点1-3（简单轮次/5波）			0.15		15	101	9	300601080			0|0|0			0|0|0		
30060109	30060109	公会战普通节点1-4（简单轮次/限时无限波）			0.15		15	101	9	300601090			0|0|0			0|0|0		
30060110	30060110	公会战普通节点1-1（普通轮次/3波）			0.15		15	102	9	300601100			0|0|0			0|0|0		
30060111	30060111	公会战普通节点1-2（普通轮次/3波）			0.15		15	101	9	300601110			0|0|0			0|0|0		
30060112	30060112	公会战普通节点1-3（普通轮次/5波）			0.15		15	101	9	300601120			0|0|0			0|0|0		
30060113	30060113	公会战普通节点1-4（普通轮次/限时无限波）			0.15		15	101	9	300601130			0|0|0			0|0|0		
30060114	30060114	公会战普通节点2-1（普通轮次/3波）			0.15		15	91	9	300601140			0|0|0			0|0|0		
30060115	30060115	公会战普通节点2-2（普通轮次/3波）			0.15		15	91	9	300601150			0|0|0			0|0|0		
30060116	30060116	公会战普通节点2-3（普通轮次/5波）			0.15		15	91	9	300601160			0|0|0			0|0|0		
30060117	30060117	公会战普通节点2-4（普通轮次/限时无限波）			0.15		15	91	9	300601170			0|0|0			0|0|0		
30060118	30060118	公会战困难节点1-1（困难轮次/3波）			0.15		15	102	9	300601180			0|0|0			0|0|0		
30060119	30060119	公会战困难节点1-2（困难轮次/3波）			0.15		15	101	9	300601190			0|0|0			0|0|0		
30060120	30060120	公会战困难节点1-3（困难轮次/5波）			0.15		15	101	9	300601200			0|0|0			0|0|0		
30060121	30060121	公会战困难节点1-4（困难轮次/限时无限波）			0.15		15	101	9	300601210			0|0|0			0|0|0		
30060122	30060122	公会战困难节点2-1（困难轮次/3波）			0.15		15	91	9	300601220			0|0|0			0|0|0		
30060123	30060123	公会战困难节点2-2（困难轮次/3波）			0.15		15	91	9	300601230			0|0|0			0|0|0		
30060124	30060124	公会战困难节点2-3（困难轮次/5波）			0.15		15	91	9	300601240			0|0|0			0|0|0		
30060125	30060125	公会战困难节点2-4（困难轮次/限时无限波）			0.15		15	91	9	300601250			0|0|0			0|0|0		
30060126	30060126	公会战困难节点3-1（困难轮次/3波）			0.15		15	95	9	300601260			0|0|0			0|0|0		
30060127	30060127	公会战困难节点3-2（困难轮次/3波）			0.15		15	95	9	300601270			0|0|0			0|0|0		
30060128	30060128	公会战困难节点3-3（困难轮次/5波）			0.15		15	112	9	300601280			0|0|0			0|0|0		
30060129	30060129	公会战困难节点3-4（困难轮次/限时无限波）			0.15		15	95	9	300601290			0|0|0			0|0|0		
30060130	30060130	公会战护卫区坦克模板			0.15		15	101	9	300601300			0|0|0			0|0|0		
30060131	30060131	公会战护卫区1-1（简单轮次-斩杀）			0.15		15	101	9	300601310			0|0|0			0|0|0		
30060132	30060132	公会战护卫区1-1（普通轮次-击杀）			0.15		15	101	9	300601320			0|0|0			0|0|0		
30060133	30060133	公会战护卫区2-1（普通轮次-斩杀）			0.15		15	91	9	300601330			0|0|0			0|0|0		
30060134	30060134	公会战护卫区1-1（困难轮次-击杀）			0.15		15	101	9	300601340			0|0|0			0|0|0		
30060135	30060135	公会战护卫区2-1（困难轮次-斩杀）			0.15		15	91	9	300601350			0|0|0			0|0|0		
30060136	30060136	公会战护卫区3-1（困难轮次-击杀）			0.15		15	104	9	300601360			0|0|0			0|0|0		
30060137	30060137	公会战前哨区哨塔（未破坏）模板			0.15		15	100	9	300601370			0|0|0			0|0|0		
30060138	30060138	公会战前哨区1-1（简单轮次-未破坏）			0.15		15	100	9	300601380			0|0|0			0|0|0		
30060139	30060139	公会战前哨区1-1（普通轮次-未破坏）			0.15		15	100	9	300601390			0|0|0			0|0|0		
30060140	30060140	公会战前哨区1-2（普通轮次-未破坏）			0.15		15	113	9	300601400			0|0|0			0|0|0		
30060141	30060141	公会战前哨区1-1（困难轮次-未破坏）			0.15		15	100	9	300601410			0|0|0			0|0|0		
30060142	30060142	公会战前哨区1-2（困难轮次-未破坏）			0.15		15	113	9	300601420			0|0|0			0|0|0		
30060143	30060143	公会战前哨区1-3（困难轮次-未破坏）			0.15		15	112	9	300601430			0|0|0			0|0|0		
30060199	30060199	测试关卡			0.15		15	101	9	300601990			0|0|0			0|0|0		
30060198	30060198	测试关卡2			0.15		15	101	9	300601980			0|0|0			0|0|0		
