Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30110001	30110001	教学：移动+攻击+削球			0.15		15	25	9	301100010			0|0|0			0|0|0		
30110002	30110002	教学：闪避+超算			0.15		15	25	9	301100020			0|0|0			0|0|0		
30110003	30110003	挑战：小BOSS挑战			0.15		15	25	9	301100030			0|0|0			0|0|0		
30110004	30110004	教学：削球技巧			0.15		15	25	9	301100040			0|0|0			0|0|0		
30110005	30110005	教学：核心被动			0.15		15	25	9	301100050			0|0|0			0|0|0		
30110006	30110006	挑战：小BOSS挑战			0.15		15	25	9	301100060			0|0|0			0|0|0		
30110007	30110007	生存挑战：受到击次数			0.15		15	25	9	301100070			0|0|0			0|0|0		
30110008	30110008	生存挑战：三消数量			0.15		15	25	9	301100080			0|0|0			0|0|0		
30110009	30110009	输出挑战：歼灭耗时			0.15		15	25	9	301100090			0|0|0			0|0|0		
30110010	30110010	QTE教学			0.15		15	1	9	301100100			0|0|0			0|0|0		
30110011	30110011	切人连段教学			0.15		15	1	9	301100110			0|0|0			0|0|0		
30110012	30110012	挑战：小BOSS挑战			0.15		15	1	9	301100120			0|0|0			0|0|0		
30110013	30110013	独域教学			0.15		15	1	9	301100130			0|0|0			0|0|0		
30110014	30110014	反击和闪避教学			0.15		15	1	9	301100140			0|0|0			0|0|0		
30110015	30110015	挑战：小BOSS挑战			0.15		15	1	9	301100150			0|0|0			0|0|0		
30110016	30110016	生存挑战：			0.15		15	1	9	301100160			0|0|0			0|0|0		
30110017	30110017	生存挑战：			0.15		15	1	9	301100170			0|0|0			0|0|0		
30110018	30110018	输出挑战：			0.15		15	1	9	301100180			0|0|0			0|0|0		
30110019	30110019	同元素队配队			0.15		15	11	9	301100190			0|0|0			0|0|0		
30110020	30110020	辅助机教学			0.15		15	11	9	301100200			0|0|0			0|0|0		
30110021	30110021	辅助机实战			0.15		15	11	9	301100210			0|0|0			0|0|0		
30110022	30110022	高阶战备技巧			0.15		15	11	9	301100220			0|0|0			0|0|0		
30110023	30110023	高危生存指南			0.15		15	11	9	301100230			0|0|0			0|0|0		
30110024	30110024	A-2实战巩固			0.15		15	11	9	301100240			0|0|0			0|0|0		
30110025	30110025	综合挑战			0.15		15	11	9	301100250			0|0|0			0|0|0		
30110026	30110026	综合挑战			0.15		15	11	9	301100260			0|0|0			0|0|0		
30110027	30110027	综合挑战			0.15		15	11	9	301100270			0|0|0			0|0|0		
30110028	30110028	莎士比尔			0.15		15	11	9	301100280			0|0|0			0|0|0		
30110029	30110029	塞壬			0.15		15	105	9	301100290			0|0|0			0|0|0		
30110030	30110030	大心脏			0.15		15	100	9	301100300			0|0|0			0|0|0		
