Icon	AssetPath	CoverImgPath
UiChange	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq4.png	
UiPurchase	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq2.png	
UiRecommend	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq5.png	
UICard	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq3.png	
UiPay	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq1.png	
UiPurchaseIconCz1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconCz1.png	
UiPurchaseIconLb1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconLb1.png	
UiPurchaseIconDh1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh1.png	
UiB25	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB25.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000404.png
UiG25	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG25.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000504.png
UiB35	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB35.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000604.png
UiG35	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG35.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000704.png
UiB55	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB55.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000804.png
UiG55	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG55.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000902.png
UiB70	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB70.png	Assets/Product/Texture/Image/IconCoating/IconCoating6001002.png
UiG70	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG70.png	Assets/Product/Texture/Image/IconCoating/IconCoating80001.png
Uio1rmb	Assets/Product/Texture/Image/UiPurchase/IconLibao1rmb.png	Assets/Product/Texture/Image/IconCoating/IconCoating80002.png
UioCDrew	Assets/Product/Texture/Image/UiPurchase/IconLibaoCDrew.png	Assets/Product/Texture/Image/IconCoating/IconCoating80003.png
UioWDrew	Assets/Product/Texture/Image/UiPurchase/IconLibaoWDrew.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000104.png
UioNUp	Assets/Product/Texture/Image/UiPurchase/IconLibaoNUp.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000105.png
UioNF	Assets/Product/Texture/Image/UiPurchase/IconLibaoNF.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000204.png
UioDay	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000304.png
UioWeek	Assets/Product/Texture/Image/UiPurchase/IconLibaoWeek.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000404.png
UioWDMouth	Assets/Product/Texture/Image/UiPurchase/IconLibaoWDMouth.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000504.png
UioCDMouth	Assets/Product/Texture/Image/UiPurchase/IconLibaoCDMouth.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000604.png
UioJDay	Assets/Product/Texture/Image/UiPurchase/IconLibaoJDay.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000704.png
UioWMaterial	Assets/Product/Texture/Image/UiPurchase/IconLibaoWMaterial.png	Assets/Product/Texture/Image/IconCoating/IconCoating6000804.png
