Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
963010096				-1									963010097					1		
963010098				-1									963010099					1		
963010094				-1									963010095					1		
963010092				-1									963010093					1		
963020096				-1									963020097					1		
963020098				-1									963020099					1		
963020094				-1									963020095					1		
963020092				-1									963020093					1		
963030096				-1									963030097					1		
963030098				-1									963030099					1		
963030094				-1									963030095					1		
963030092				-1									963030093					1		
963040096				-1									963040097					1		
963040098				-1									963040099					1		
963040094				-1									963040095					1		
963040092				-1									963040093					1		
963060096				-1									963060097					1		
963060098				-1									963060099					1		
963060094				-1									963060095					1		
963060092				-1									963060093					1		
963080096				-1									963080097					1		
963080098				-1									963080099					1		
963080094				-1									963080095					1		
963080092				-1									963080093					1		
963100096				-1									963100097					1		
963100098				-1									963100099					1		
963100094				-1									963100095					1		
963100092				-1									963100093					1		
963110096				-1									963110097					1		
963110098				-1									963110099					1		
963110094				-1									963110095					1		
963110092				-1									963110093					1		
963120096				-1									963120097					1		
963120098				-1									963120099					1		
963120094				-1									963120095					1		
963120092				-1									963120093					1		
