Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove	EndMagic	ShowType
832000			0	4				99	0	8320000			832000000					1				
832008			0	-1				1	0	8320080				FxMb1LuosaitaMd010001Attack0801								
832009			0	-1				1	0	8320090				FxMb1LuosaitaMd010001Attack0802								
832010			0	0				1	0	8320100	8320080|8320090											
832011			0	-1				1	0	8320110			832011000									
832021			0	3				1	0	8320210												
832022			0	3.1				1	0	8320220			832022000									
832023			0	10				1	0	8320230			832023000									
832200			0	6.9				99	0	8322000			832200000					1				
832201			0	-1				1	0	8322010	8322310|8311320|8322330|8322340		832201000									
832202			0	-1				1	0	8322020			832202000									
832203			0	-1				1	0	8322030			832203000									
832204			0	0				1	0	8322040	8322010|8322020|8322030|8322280											
832205			0.2	0				1	0	8322050			832205000									
832206			0	0.2				1	0	8322060			832206000					1				
832207			0	0.45				1	0	8322070				FxMb1LuosaitaMd010002Canying								
832208			0	0.45				1	0	8322080				FxMb1LuosaitaMd010002MoveGuadianBip001RHand	Bip001 R Hand							
832209			0	0.45				1	0	8322090				FxMb1LuosaitaMd010002MoveGuadianBip001Spine1	Bip001 Spine1							
832210			0	-1				1	0	8322100			832210000									
832211			0	0.8				1	0	8322110|8		10|15	832211000									
832212			0	-1				1	0	8322120			832212000									
832213			0	-1				1	0	8322130			832213000									
832214			0.2	0				1	0	8322140			832214000									
832223			0	0.9				1	0	8322230			832223000									
832231			0	-1				1	0	8322310	8322330|8322340	8322330|8322340		FxMb1LuosaitaMd010002Chibang01GuadianBone009	Bone009							
832232			0	-1				1	0	8322320	8322330|8322340	8322330|8322340		FxMb1LuosaitaMd010002Chibang01GuadianBone009mirrored	Bone009mirrored							
832233			0	-1				1	0	8322330	8322310|8311320	8322310|8311320		FxMb1LuosaitaMd010002Chibang02GuadianBone009	Bone009							
832234			0	-1				1	0	8322340	8322310|8311320	8322310|8311320		FxMb1LuosaitaMd010002Chibang02GuadianBone009mirrored	Bone009mirrored							
832235			0	5				1	0	8322350				FxMb1LuosaitaMd010002Attack06Yujing02	HitCase							
832236			0	0.5				1	0	8322360	8322350	8322350		FxMb1LuosaitaMd010002Attack06Yujing01	HitCase							
832237			0	10				1	0	8322370			832237000									
832228			0	-1				1	0	8322280			832228000									
835000			0	5.4				99	0	8350000			835000000					1				
835001			0	5.4				1	0	8350010			835001000									
835002			0	2				1	0	8350020			835002000									
835003			0	-1				1	0	8350030				FxMb1MelodyVeryDiao								
835010			0	-1				1	0	8350100			835010000									
835020			0	-1				1	0	8350200	1000410|1999500|1999510	1000410|1999500|1999510	835020000									
835061			0	0				1	0	8350610												
835062			0	0				1	0	8350620												
835063			0	0				1	0	8350630												
835064			0	0				1	0	8350640												
835067			0	0				1	0	8350670												
835068			0	0				1	0	8350680												
835069			0	10				1	0	8350690			835069000									
835083			0	6				-1	0	8350830			835083000					1				
835084			0	-1				1	0	8350840			835084000									
835085			0	2				1	0	8350850				FxYubei03	Bip001Head			1				
835086			0	0.2				1	0	8350860								1				
835087			0	0.3				1	0	8350870												
835200			0	3.6				99	0	8352000			835200000					1				
835205			0	3.6				99	0	8352050			835205000					1				
835206			0	1				1	0	8352060			835206000					1				
835207			0	1.5				1	0	8352070			835207000					1				
835210			0	-1				1	0	8352100			835210000									
835211			0	-1				1	0	8352110	8352110		835211000					1				
835212			0	-1				1	0	8352120								1				
835213			0	1				-1	0	8352130				FxMb1MelodyhuaxuMd10001HudunShouji	HitCase							
835214			0	-1				1	0	8352140			835214000									
835218			0	-1				-1	0	8352180	8352000	8352000						1				
835220			0	-1				1	0	8352200	1000410|1999500|1999510	1000410|1999500|1999510										
835222			0	-1				1	0	8352220			835222000									
835223			0	5				-1	0	8352230			835223000									
