StageId	AwardTime	Color	GridDesc	ScoreRatio
30062010	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062011	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062012	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062013	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062014	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062015	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062016	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062017	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062018	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062019	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062020	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062021	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062024	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062025	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062026	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062027	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062028	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062029	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062030	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062031	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062032	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062033	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062034	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062035	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062038	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062039	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062040	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062041	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062042	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062043	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062044	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062045	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062046	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062047	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062048	120	1	Clear the stage to get <color=#55D0F0>5 points</color>	5
30062049	80	2	Clear the stage to get <color=#c37df9>10 points</color>	10
30062110	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062111	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062112	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062113	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062114	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062115	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062116	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062117	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062118	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062119	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062120	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062121	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062124	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062125	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062126	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062127	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062128	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062129	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062130	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062131	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062132	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062133	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062134	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062135	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062138	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062139	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062140	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062141	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062142	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062143	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062144	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062145	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062146	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062147	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062148	120	2	Clear the stage to get <color=#c37df9>5 points</color>	5
30062149	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062022	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062122	80	4	Clear the stage to get <color=#FF8624>10 points</color>	10
30062036	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062136	80	4	Clear the stage to get <color=#FF8624>10 points</color>	10
30062050	80	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062150	80	4	Clear the stage to get <color=#FF8624>10 points</color>	10
30062023	0	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062123	0	4	Clear the stage to get <color=#FF8624>10 points</color>	10
30062037	0	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062137	0	4	Clear the stage to get <color=#FF8624>10 points</color>	10
30062051	0	3	Clear the stage to get <color=#FF8624>10 points</color>	10
30062151	0	4	Clear the stage to get <color=#FF8624>10 points</color>	10
