Id	ClearStageCount	StageIds[1]	StageIds[2]	StageIds[3]
1	1	30062010	30062011	
2	1	30062012	30062013	
3	1	30062014	30062015	
4	1	30062016	30062017	
5	1	30062018	30062019	
6	1	30062020	30062021	
7	1	30062024	30062025	
8	1	30062026	30062027	
9	1	30062028	30062029	
10	1	30062030	30062031	
11	1	30062032	30062033	
12	1	30062034	30062035	
13	1	30062038	30062039	
14	1	30062040	30062041	
15	1	30062042	30062043	
16	1	30062044	30062045	
17	1	30062046	30062047	
18	1	30062048	30062049	
19	1	30062110	30062111	
20	1	30062112	30062113	
21	1	30062114	30062115	
22	1	30062116	30062117	
23	1	30062118	30062119	
24	1	30062120	30062121	
25	1	30062124	30062125	
26	1	30062126	30062127	
27	1	30062128	30062129	
28	1	30062130	30062131	
29	1	30062132	30062133	
30	1	30062134	30062135	
31	1	30062138	30062139	
32	1	30062140	30062141	
33	1	30062142	30062143	
34	1	30062144	30062145	
35	1	30062146	30062147	
36	1	30062148	30062149	
37	1	30062022		
38	1	30062122		
39	1	30062036		
40	1	30062136		
41	1	30062050		
42	1	30062150		
43	1	30062023		
44	1	30062123		
45	1	30062037		
46	1	30062137		
47	1	30062051		
48	1	30062151		
