Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
10021001	0.1|BindEffect|FxR1LuxiyaRMAtk10missileBoneSL|missileBoneSL|1|0																																																																															
10021002	0.1|BindEffect|FxR1LuxiyaRMAtk11missileBoneSR|missileBoneSR|1|0	0.25|BindEffect|FxR1LuxiyaRMAtk11missileBoneSL|missileBoneSL|1|0																																																																														
10021003	0.1|BindEffect|FxR1LuxiyaRMAtk12missileBoneSL|missileBoneSL|1|0																																																																															
10021004																																																																																
10021005																																																																																
10021006	0|BindEffect|FxR1LuxiyaRMAtkXulimissileBoneSL|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMAtkXulimissileBoneSR|missileBoneSR|1|0																																																																														
10021007	0|BindEffect|FxR1LuxiyaRMPenqimissileBoneSLIn|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMPenqimissileBoneSRIn|missileBoneSR|1|0																																																																														
10021008	0|BindEffect|FxR1LuxiyaRMPenqimissileBoneSL|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMPenqimissileBoneSR|missileBoneSR|1|0																																																																														
10021009																																																																																
10021010																																																																																
10021011	0|BindEffect|FxR1LuxiyaRMAtk22missileBoneSL|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMAtk22missileBoneSR|missileBoneSR|1|0	1.3|BindEffect|FxR1LuxiyaRMSpearjump|missileBoneRoot|1|0	1.9|BindEffect|FxR1LuxiyaRMSpearfall|missileBoneRoot|0|0																																																																												
10021012	0|BindEffect|FxR1LuxiyaRMAtk22missileBoneSL|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMAtk22missileBoneSR|missileBoneSR|1|0																																																																														
10021013	0|BindEffect|FxR1LuxiyaRMSpearfallmissileBoneSL|missileBoneSL|1|0	0|BindEffect|FxR1LuxiyaRMSpearfallmissileBoneSR|missileBoneSR|1|0																																																																														
10021014																																																																																
10021015																																																																																
10021101																																																																																
10021102	0|Hide|0	0|MoveByMissile|10024005|2																																																																														
10021103	1|Hide|0	0.5|BindEffect|FxR1LuxiyaRMS1Spear01In||1|1																																																																														
10021104	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Loop|RocketBonetrunk00|1|1																																																																														
10021105	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Out||1|1	3|Hide|1																																																																													
10021106	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02In|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop|RocketBonetrunk00|1|1																																																																													
10021107	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light01|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021108	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light02|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021109	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light03|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021110	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Out||1|1	3|Hide|1																																																																													
10021201																																																																																
10021202	0|Hide|0	0|MoveByMissile|10024005|2																																																																														
10021203	1|Hide|0	0.5|BindEffect|FxR1LuxiyaRMS1Spear01In||1|1																																																																														
10021204	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Loop|RocketBonetrunk00|1|1																																																																														
10021205	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Out||1|1	3|Hide|1																																																																													
10021206	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02In|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop|RocketBonetrunk00|1|1																																																																													
10021207	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light01|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021208	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light02|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021209	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear02Light03|RocketBonetrunk00|1|1	0|BindEffect|FxR1LuxiyaRMS1Spear02Loop02|RocketBonetrunk00|1|1																																																																													
10021210	0|Hide|0	0|BindEffect|FxR1LuxiyaRMS1Spear01Out||1|1	3|Hide|1																																																																													
10021301																																																																																
10021302	0|Hide|0	0|MoveByMissile|10024005|2																																																																														
10021303	1|Hide|0	0.5|BindEffect|FxR1LuxiyaRMS1Spear01In||1|1																																																																														
