Id	CharacterId	Icon	StageId	UnlockItemId	Cost
1	1041003	Assets/Product/Texture/Image/RoleStory/R3BiankaNormal01.png	30031620	96123	1
2	1021004	Assets/Product/Texture/Image/RoleStory/R4LuxiyaNormal04.png	30031621	96123	1
3	1011003	Assets/Product/Texture/Image/RoleStory/R3LiangNormal01.png	30031623	96123	1
4	1031001	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	30031622	96123	1
5	1051004	Assets/Product/Texture/Image/RoleStory/QishichaoNormal02.png	30031625	96123	1
6	1061002	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	30031624	96123	1
7	1071004	Assets/Product/Texture/Image/RoleStory/KalieninaNomal05.png	30031626	96123	1
8	1081002	Assets/Product/Texture/Image/RoleStory/DubianNormal01.png	30031627	96123	1
9	1091002	Assets/Product/Texture/Image/RoleStory/AilaNormal01.png	30031628	96123	1
10	1111002	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	30031629	96123	1
11	1121003	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	30031630	96123	1
12	1131002	Assets/Product/Texture/Image/RoleStory/R2WeilaNormal01.png	30031631	96123	1
13	1141003	Assets/Product/Texture/Image/RoleStory/LuosaitaNormal06.png	30031633	96123	1
14	1161002	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	30031635	96123	1
15	1021003	Assets/Product/Texture/Image/RoleStory/R3LuxiyaNormal03.png	30031644	96123	1
16	1171003	Assets/Product/Texture/Image/RoleStory/LunaNormal03.png	30031636	96123	1
17	1211002	Assets/Product/Texture/Image/RoleStory/WanshiNormal01.png	30031637	96123	1
18	1221002	Assets/Product/Texture/Image/RoleStory/21haoNormal01.png	30031639	96123	1
19	1511003	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	30031632	96123	1
20	1521003	Assets/Product/Texture/Image/RoleStory/QuNormal01.png	30031634	96123	1
21	1531003	Assets/Product/Texture/Image/RoleStory/SailinnaNormal05.png	30031638	96123	1
22	1541003	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	30031640	96123	1
23	1551003	Assets/Product/Texture/Image/RoleStory/PulaoNormal04.png	30031641	96123	1
24	1561003	Assets/Product/Texture/Image/RoleStory/HakamaNormal04.png	30031642	96123	1
25	1571003	Assets/Product/Texture/Image/RoleStory/NuoanNormal01.png	30031643	96123	1
26	1231002	Assets/Product/Texture/Image/RoleStory/V130bbntNormal01.png	30031645	96123	1
