Id	PokerGroup	PokerNum	PokerSuitType	FrontAssetPath
1	1	1	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHeartsA.png
2	1	2	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts2.png
3	1	3	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts3.png
4	1	4	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts4.png
5	1	5	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts5.png
6	1	6	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts6.png
7	1	7	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts7.png
8	1	8	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts8.png
9	1	9	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts9.png
10	1	10	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHearts10.png
11	1	11	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHeartsJ.png
12	1	12	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHeartsQ.png
13	1	13	1	Assets/Product/Texture/Image/UiFubenPokerGuessing/UiFubenPokerGuessingHeartsK.png
