Id	CharacterId	Level	AttribId	UseItemId[1]	UseItemCount[1]	UseItemId[2]	UseItemCount[2]
1	1021001	1	9003	1	50	2	100
2	1021001	2	9003	1	60	2	110
3	1021001	3	9003	1	70	2	120
4	1021001	4	9003	1	80	2	130
5	1021001	5	9003	1	90	2	140
6	1021001	6	9003	1	100	2	150
7	1021001	7	9003	1	110	2	160
8	1021001	8	9003	1	120	2	170
9	1021001	9	9003	1	130	2	180
10	1021001	10	9003	1	140	2	190
11	1021001	11	9003	1	150	2	200
12	1021001	12	9003	1	160	2	210
13	1021001	13	9003	1	170	2	220
14	1021001	14	9003	1	180	2	230
15	1021001	15	9003	1	190	2	240
16	1021001	16	9003	1	200	2	250
17	1021001	17	9003	1	210	2	260
18	1021001	18	9003	1	220	2	270
19	1041003	1	9003	1	50	2	100
20	1041003	2	9003	1	60	2	110
21	1041003	3	9003	1	70	2	120
22	1041003	4	9003	1	80	2	130
23	1041003	5	9003	1	90	2	140
24	1041003	6	9003	1	100	2	150
25	1041003	7	9003	1	110	2	160
26	1041003	8	9003	1	120	2	170
27	1041003	9	9003	1	130	2	180
28	1041003	10	9003	1	140	2	190
29	1041003	11	9003	1	150	2	200
30	1041003	12	9003	1	160	2	210
31	1041003	13	9003	1	170	2	220
32	1041003	14	9003	1	180	2	230
33	1041003	15	9003	1	190	2	240
34	1041003	16	9003	1	200	2	250
35	1041003	17	9003	1	210	2	260
36	1041003	18	9003	1	220	2	270
