Id	SkillId	Level	FightEventId	UpgradeCondition	UpgradeConsumeId	UpgradeConsumeCount
101	1001	1	1206101	880202	62016	40
102	1001	2	1206102	880203	62016	40
103	1001	3	1206103	880204	62016	80
104	1001	4	1206104	880205	62016	40
105	1001	5	1206105	880206	62016	40
106	1001	6	1206106	880207	62016	80
107	1001	7	1206107	880208	62016	40
108	1001	8	1206108	880209	62016	40
109	1001	9	1206109		62016	0
201	1002	1	1206201	880202	62016	40
202	1002	2	1206202	880203	62016	40
203	1002	3	1206203	880204	62016	80
204	1002	4	1206204	880205	62016	40
205	1002	5	1206205	880206	62016	40
206	1002	6	1206206	880207	62016	80
207	1002	7	1206207	880208	62016	40
208	1002	8	1206208	880209	62016	40
209	1002	9	1206209		62016	0
301	1003	1	1206301	880202	62016	40
302	1003	2	1206302	880203	62016	40
303	1003	3	1206303	880204	62016	80
304	1003	4	1206304	880205	62016	40
305	1003	5	1206305	880206	62016	40
306	1003	6	1206306	880207	62016	80
307	1003	7	1206307	880208	62016	40
308	1003	8	1206308	880209	62016	40
309	1003	9	1206309		62016	0
401	1004	1	1206401	880102	62016	40
402	1004	2	1206402	880103	62016	40
403	1004	3	1206403	880104	62016	80
404	1004	4	1206404	880105	62016	40
405	1004	5	1206405	880106	62016	40
406	1004	6	1206406	880107	62016	80
407	1004	7	1206407	880108	62016	40
408	1004	8	1206408	880109	62016	40
409	1004	9	1206409		62016	0
