Id	Message
1	We tried.
2	Please don't give up.
3	There will be hope.
4	Glory to mankind.
5	Think of what you used to be like!
6	Go go go!
7	That's okay.
8	Accept yourself as is.
9	There are endless possibilities in life.
10	You are the one I want to help.
11	I wish every human safe.
12	Thank you.
13	I will stay with you.
14	I will protect you.
15	I can understand if you give up.
16	That's it.
17	It doesn't matter anymore.
18	Whatever.
19	Here we meet.
20	I knew you could do it.
21	Everyone is suffering, so...
22	There is light at the end of darkness.
23	It's been a long journey.
24	Everything has just started.
25	Everything has a meaning.
26	I hope you enjoy yourself.
27	Every game has an end. So does suffering.
