Id	PlayerName	MessageId	Age	LabelId
1	DIO	1	18	1
2	Salted Fish	2	25	2
3	Luo Xiaosheng	3	13	3
4	Jacko	4	45	4
5	Brother Pai	5	98	5
6	Lunchbox	6	35	6
7	Kazusa Kitahara	7	48	7
8	Cream Soda & Milk	8	78	1
9	Hua	9	21	2
10	Captain	10	92	3
11	Orange Congee	1	21	4
12	Wine Dealer	2	13	5
13	Su Zhou Governor	3	15	6
14	Hanson the Not Being	4	88	7
15	Young	5	75	1
16	Deep Snow	6	56	2
17	Planner Dong	7	67	3
18	Joker	8	18	4
19	Ragdoll	9	15	5
20	Miao Dao	10	20	6
21	Xiao Lai	1	89	7
22	Brother Chang	2	40	1
23	Mr. Cleaner	3	45	2
24	Kuma	4	24	3
25	Bai Yu	5	31	4
26	Bai Kai	6	68	5
27	Call me Moe	7	27	6
28	A Yin	8	21	7
29	Vor	9	29	1
30	Heao	10	59	2
31	Star	1	31	3
32	Jhin	2	48	4
33	Lucky Bunny	3	33	5
34	Vincenzo	4	64	6
35	Light OvO	5	35	7
36	Hua Qi	6	58	1
37	Pater	7	31	2
38	Old Xia	8	38	3
39	Andy.	9	89	4
40	EriksenL	10	40	5
41	Zi Wei	1	55	6
42	Yan	2	14	7
43	07	3	18	1
44	Kaorou	4	97	2
45	Good evening	5	85	3
46	Xiao Zhurou	6	65	4
47	Ghost	7	32	5
