Id	LevelId	Condition	RewardId	Offline	SkipId	Desc	RewardType
1	3	95005	406031		86001	Clear Redstone Deep Hive	2
2	3	95006	406032		86002	Clear Southern Deep Hive	2
3	3	95007	406033		86003	Clear Groening Deep Hive	2
4	3	95008	406034		86004	Clear Stratum Deep Hive	2
5	3	95009	406035		86005	Clear Bollie Deep Hive	2
6	3	95313	406354		86006	Clear Cloud Island Deep Hive	2
7	3	95010	406042		86001	Clear Redstone Deep Hive with no more than 200 System Electricity.	1
8	3	95011	406043		86001	Clear Redstone Deep Hive with no more than 100 System Electricity.	1
9	3	95012	406044		86002	Clear Southern Deep Hive with no more than 400 System Electricity.	1
10	3	95013	406045		86002	Clear Southern Deep Hive with no more than 250 System Electricity.	1
11	3	95014	406046		86002	Clear Southern Deep Hive with no more than 50 System Electricity.	1
12	3	95015	406036		86003	Clear Groening Deep Hive with no more than 400 System Electricity.	1
13	3	95016	406037		86003	Clear Groening Deep Hive with no more than 250 System Electricity.	1
14	3	95017	406038		86003	Clear Groening Deep Hive with no more than 50 System Electricity.	1
15	3	95018	406039		86004	Clear Stratum Deep Hive with no more than 400 System Electricity.	1
16	3	95019	406040		86004	Clear Stratum Deep Hive with no more than 50 System Electricity.	1
17	3	95020	406041		86005	Clear Bollie Deep Hive with no more than 150 System Electricity.	1
18	3	95308	406350		86011	Clear Energy Deep Hive	3
19	3	95309	406351		86012	Clear Mountain Deep Hive	3
20	3	95310	406352		86013	Clear Wamba Deep Hive	3
21	3	95311	406353		86014	Clear Midland Deep Hive	3
22	2	95101	406131		86001	Clear Redstone Deep Hive	2
23	2	95102	406132		86002	Clear Southern Deep Hive	2
24	2	95103	406133		86003	Clear Groening Deep Hive	2
25	2	95104	406134		86004	Clear Stratum Deep Hive	2
26	2	95105	406135		86005	Clear Bollie Deep Hive	2
27	2	95106	406146		86001	Clear Redstone Deep Hive with no more than 500 System Electricity.	1
28	2	95107	406145		86001	Clear Redstone Deep Hive with no more than 300 System Electricity.	1
29	2	95108	406144		86002	Clear Southern Deep Hive with no more than 600 System Electricity.	1
30	2	95109	406143		86002	Clear Southern Deep Hive with no more than 450 System Electricity.	1
31	2	95110	406142		86002	Clear Southern Deep Hive with no more than 300 System Electricity.	1
32	2	95111	406136		86003	Clear Groening Deep Hive with no more than 1500 System Electricity.	1
33	2	95112	406137		86003	Clear Groening Deep Hive with no more than 1200 System Electricity.	1
34	2	95113	406138		86003	Clear Groening Deep Hive with no more than 800 System Electricity.	1
35	2	95114	406139		86004	Clear Stratum Deep Hive with no more than 2000 System Electricity.	1
36	2	95115	406140		86004	Clear Stratum Deep Hive with no more than 1800 System Electricity.	1
37	2	95116	406141		86005	Clear Bollie Deep Hive with no more than 2,500 System Electricity.	1
38	2	95304	406346		86011	Clear Energy Deep Hive	3
39	2	95305	406347		86012	Clear Mountain Deep Hive	3
40	2	95306	406348		86013	Clear Wamba Deep Hive	3
41	2	95307	406349		86014	Clear Midland Deep Hive	3
42	1	95201	406225		86001	Clear Redstone Deep Hive	2
43	1	95202	406226		86002	Clear Southern Deep Hive	2
44	1	95203	406227		86003	Clear Groening Deep Hive	2
45	1	95204	406228		86004	Clear Stratum Deep Hive	2
46	1	95205	406240		86001	Clear Redstone Deep Hive with no more than 500 System Electricity.	1
47	1	95206	406239		86001	Clear Redstone Deep Hive with no more than 300 System Electricity.	1
48	1	95207	406238		86002	Clear Southern Deep Hive with no more than 600 System Electricity.	1
49	1	95208	406237		86002	Clear Southern Deep Hive with no more than 450 System Electricity.	1
50	1	95209	406236		86002	Clear Southern Deep Hive with no more than 300 System Electricity.	1
51	1	95210	406230		86003	Clear Groening Deep Hive with no more than 1800 System Electricity.	1
52	1	95211	406231		86003	Clear Groening Deep Hive with no more than 1500 System Electricity.	1
53	1	95212	406232		86003	Clear Groening Deep Hive with no more than 1200 System Electricity.	1
54	1	95213	406233		86004	Clear Stratum Deep Hive with no more than 2000 System Electricity.	1
55	1	95214	406234		86004	Clear Stratum Deep Hive with no more than 1900 System Electricity.	1
56	1	95215	406235		86004	Clear Stratum Deep Hive with no more than 1800 System Electricity.	1
57	1	95300	406342		86011	Clear Energy Deep Hive	3
58	1	95301	406343		86012	Clear Mountain Deep Hive	3
59	1	95302	406344		86013	Clear Wamba Deep Hive	3
60	1	95303	406345		86014	Clear Midland Deep Hive	3
