Id	PreId	Order	DetailDesc	Name	Prefab	IconBg	IconBoss	DetailBg	FinishRelatedId[1]	FinishRelatedId[2]	FinishRelatedId[3]	FinishRelatedId[4]	FinishRelatedId[5]	Endurance	AddElectricEnergy	RewardId[1]	RewardId[2]	RewardId[3]	TeamMember[1]	TeamMember[2]	TeamMember[3]	TeamMember[4]	TeamMember[5]	TeamMember[6]	DistributionGroup	BuffGroup[1]	BuffGroup[2]	BuffGroup[3]	BuffGroup[4]	BuffGroup[5]	BuffGroup[6]	RobotGroup[1]	RobotGroup[2]	RobotGroup[3]	StageIdGroup[1]	StageIdGroup[2]	StageIdGroup[3]	StageIdGroup[4]	StageIdGroup[5]	StageIdGroup[6]	BaseBuffId[1]	BaseBuffId[2]	BaseBuffId[3]	StageBuffId[1]	StageBuffId[2]	StageBuffId[3]	StageBuffId[4]	SweepLevelId[1]	SweepCondition[1]	SweepLevelId[2]	SweepCondition[2]	SweepLevelId[3]	SweepCondition[3]
101		NA-01	Clear to get Miners as reward	Redstone Entrance	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406201	406101	406003	3						1	0|0						2	1	1	30202001|30202002						56|56|56							1	95421	2	95411	3	95401
102		NA-02	Clear to get Miners as reward	Redstone Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406202	406102	406002	3						1	0|0						2	1	1	30202003|30202004						56|56|56							1	95421	2	95411	3	95401
103		NA-03	Clear to get Miners as reward	Redstone Terrace	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406203	406103	406003	3						1	0|0						2	1	1	30202005|30202006						56|56|56							1	95421	2	95411	3	95401
104		SP-01	Complete the operation to reduce the difficulty of EX-01	Redstone Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage020.png								1	0	406204	406104	406004	3						1	76|76						2	1	1	30202007|30202008						24|24|24			53|53|53				1	95421	2	95411	3	95401
105		SP-02	Complete the operation to reduce the difficulty of EX-01	Redstone Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage021.png								1	0	406205	406105	406005	3						1	76|76						2	1	1	30202009|30202010						24|24|24			54|54|54				1	95421	2	95411	3	95401
106		EX-01	Complete the operation to eliminate all the enemies in the mine	Redstone Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	101	102	103	104	105	1	0	406206	406106	406006	3						1	76|76						2	1	1	30202011|30202012						58|58|58			53|53|53	54|54|54			1	95421	2	95411	3	95401
107	106	NA-04	Clear to get Miners as reward	Southern Entrance	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406207	406107	406007	3	3	3	3	3	3	2	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202013|30202014	30202015|30202315	30202016|30202316	30202017|30202317	30202018|30202318	30202019|30202319	56|56|56							1	95422	2	95412	3	95402
108		NA-05	Clear to get Miners as reward	Southern Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406208	406108	406008	3	3	3	3	3	3	2	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202020|30202021	30202022|30202322	30202023|30202323	30202024|30202324	30202025|30202325	30202026|30202326	56|56|56							1	95422	2	95412	3	95402
109		NA-06	Clear to get Miners as reward	Southern Terrace	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406209	406109	406009	3	3	3	3	3	3	2	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202027|30202028	30202029|30202329	30202030|30202330	30202031|30202331	30202032|30202332	30202033|30202333	56|56|56							1	95422	2	95412	3	95402
110		SP-03	Complete the operation to reduce the difficulty of EX-02	Southern Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage020.png								1	0	406210	406110	406010	3	3	3	3	3	3	2	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202034|30202035	30202036|30202336	30202037|30202337	30202038|30202338	30202039|30202339	30202040|30202340	73|73|73			25|25|25				1	95422	2	95412	3	95402
