Id	RequireAbility	Condition[1]	Condition[2]	BuffId[1]	BuffId[2]
1	3500	94002	94001	71	
2	3500	94002	94001	16	
3	3500	94002	94001	17	
4	3500	94002	94001	19	
5	3500	94002	94001	20	
6	3500	94002	94001	5	
7	3500	94002	94001	154	
8	4000	94003	94001	71	
9	4000	94003	94001	16	
10	4000	94003	94001	17	
11	4000	94003	94001	19	
12	4000	94003	94001	20	
13	4000	94003	94001	5	
14	4000	94003	94001	154	
15	4500	94004	94001	71	
16	4500	94004	94001	16	
17	4500	94004	94001	17	
18	4500	94004	94001	19	
19	4500	94004	94001	20	
20	4500	94004	94001	5	
21	4500	94004	94001	154	
22	5000	94005	94001	71	
23	5000	94005	94001	16	
24	5000	94005	94001	17	
25	5000	94005	94001	19	
26	5000	94005	94001	20	
27	5000	94005	94001	5	
28	5000	94005	94001	154	
29	5500	94006	94001	71	
30	5500	94006	94001	16	
31	5500	94006	94001	17	
32	5500	94006	94001	19	
33	5500	94006	94001	20	
34	5500	94006	94001	5	
35	5500	94006	94001	154	
36	6000	94007	94001	71	
37	6000	94007	94001	16	
38	6000	94007	94001	17	
39	6000	94007	94001	19	
40	6000	94007	94001	20	
41	6000	94007	94001	5	
42	6000	94007	94001	154	
43	6500	94008	94001	71	
44	6500	94008	94001	17	
45	6500	94008	94001	17	
46	6500	94008	94001	19	
47	6500	94008	94001	20	
48	6500	94008	94001	5	
49	6500	94008	94001	154	
50	7000	94009	94001	71	
51	7000	94009	94001	16	
52	7000	94009	94001	16	
53	7000	94009	94001	19	
54	7000	94009	94001	20	
55	7000	94009	94001	5	
56	7000	94009	94001	154	
57	7000	94009	94001	71	
58	7000	94009	94001	16	
59	7000	94009	94001	17	
60	7000	94009	94001	19	
61	7000	94009	94001	20	
62	7000	94009	94001	5	
63	7000	94009	94001	154	
64	7500	94010	94001	71	
65	7500	94010	94001	16	
66	7500	94010	94001	17	
67	7500	94010	94001	19	
68	7500	94010	94001	20	
69	7500	94010	94001	5	
70	7500	94010	94001	154	
71	6000	94007	94001	16	
72	6000	94007	94001	16	
73	6000	94007	94001	5	
74	6000	94007	94001	16	
75	6000	94007	94001	16	
76	6000	94007	94001	5	
77	6500	94008	94001	154	
78	6500	94008	94001	154	
79	6500	94008	94001	154	
80	6500	94008	94001	20	
81	6500	94008	94001	154	
82	6500	94008	94001	154	
83	6500	94008	94001	154	
84	6500	94008	94001	20	
85	7700	94011	94001	233	
86	7700	94011	94001	233	
87	7700	94011	94001	233	
88	7700	94011	94001	233	
89	7700	94011	94001	233	
90	5500	94006	94001	233	
91	5500	94006	94001	233	
92	7000	94009	94001	233	
93	7000	94009	94001	233	
94	7000	94009	94001	233	
95	7500	94010	94001	233	
96	4000	94003	94001	234	
97	4500	94004	94001	234	
98	5000	94005	94001	234	
