Id	Icon	Name	Desc	Condition[1]	Condition[2]	FightEventId[1]	FightEventId[2]	FightEventId[3]	FightEventId[4]
1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Find Weakness α	Attacker Omniframes mark the targets when they attack,/n increasing DMG dealt to them by Support Omniframes.			200001			
2	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Find Weakness β	Attacker Omniframes mark the targets when they attack,/n increasing DMG dealt to them by Tank Omniframes.			200002			
3	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Lingering Signal	After a non-Attacker Omniframe pings Signal Orbs,\nthe next Omniframe entering battle will deal increased DMG.			200003			
4	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	High Morale	After a non-Attacker Omniframe deals DMG,\nthe next Omniframe entering battle will deal increased DMG.			200004			
5	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 5	Each time an enemy is attacked, it loses 2% Extra DMG Reduction. This effect has a cooldown of 1s before being triggered again.\nStacks up to 100%.			200005			
6	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 6	The cooldown of Orb recovery from Basic Attacks is doubled.			200006			
7	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 7	In Special Dispatch Zone, Basic Attacks recover Orbs at a slower rate.\nAfter dealing DMG, the next Omniframe that enters battle will gain Signal Orbs.			200007	200006		
8	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 8	Basic Attacks recover Orbs at a slower rate.\nWhen healed, team members can gain Signal Orbs.			200008	200006		
9	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 9	In Special Dispatch Zone, the cooldown of QTE is reduced.\nQTE also recovers additional Orbs for the current character in battle.			200009			
10	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 10	In Special Dispatch Zone, Basic Attacks recover Orbs at a slower rate.\nBasic Attacks deal extra DMG 1 time when they hit.			200010	200006		
11	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 11	In Special Dispatch Zone, the cooldown of QTE is extended.\nWhile the cooldown of switching between members is reduced.			200011	200012		
12	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 12	QTE cooldown increases by 6s.			200012			
13	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 13	In Special Dispatch Zone, Basic Attacks recover Orbs at a slower rate.\nWhen gaining a shield, team members can gain Signal Orbs.			200013	200006		
14	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 14	In Special Dispatch Zone, after the current character uses a CUB skill\nHe or she will deal increased DMG over the next 5s.			200014	200042		
15	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 15	Signature Move consumes all available energy\nAnd deals increased damage based on the energy consumed.			200015			
16	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 16	Gain 9 bonus Signal Orbs each time when a new character is switched into battle.			200016			
17	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 17	Character's shield capacity and healing effect increase by 100%.			200017	200018		
18	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 18	Character's shield capacity and healing effect increase by 100%.			200018	200017		
19	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 19	The energy cost of Signature Move is reduced by 50%.			200019			
20	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Affix Name 20	After character switch, the character that is switched into battle gains 10% Extra DMG Bonus.\nThis effect lasts permanently and stacks up to 150%.			200020			
21	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	Berserk 1	The enemy's attacking desire increases by 33%. When dealing DMG, there is a 20% chance to deal 33% Extra DMG.			32031			
22	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32032.png	Berserk 2	The enemy's attacking desire increases by 66%. When dealing DMG, there is a 40% chance to deal 33% Extra DMG.			32032			
23	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32033.png	Berserk 3	The enemy's attacking desire increases by 100%. When dealing DMG, there is a 60% chance to deal 33% Extra DMG.			32033			
24	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	Assault 1	Enemies gain 10% more Attack.			11011			
25	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11012.png	Assault 2	Enemies gain 20% more Attack.	94014		11012			
26	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11013.png	Assault 3	Enemies gain 30% more Attack.			11013			
27	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33152.png	Lightning Mine	Enemy attacks plant a bomb on their target that detonates after some time, dealing Physical DMG equal to 15% of their ATK.	94019		32151			
28	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32071.png	Radiation 1	The enemy will deal Physical DMG equal to 1% of its ATK to nearby targets per second.			32071			
29	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32072.png	Radiation 2	The enemy will deal Physical DMG equal to 2% of its ATK to nearby targets per second.	94016		32072			
30	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32073.png	Radiation 3	The enemy will deal Physical DMG equal to 3% of its ATK to nearby targets per second.			32073			
31	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Lightning Shield	Every time the enemy gets hit, there is a 10% chance to call down a lightning strike upon the attacker (5s cooldown), dealing Lightning DMG equal to 20% of its ATK.	94022		32131			
32	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	Shield 1	Every 8s, enemies will gain a shield equal to 15% of maximum HP for 3s.			32021			
33	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32022.png	Shield 2	Every 8s, enemies will gain a shield equal to 25% of max HP for 3s.	94018		32022			
34	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32023.png	Shield 3	Every 8s, enemies will gain a shield equal to 35% of max HP for 3s.	94021		32023			
35	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32061.png	Barrier 1	Enemies have shields that absorb up to 15% of max HP before shattering.			32061			
36	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	Barrier 2	Enemies have shields that absorb up to 25% of max HP before shattering.	94015		32062			
37	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32063.png	Barrier 3	Enemies have shields that absorb up to 35% of max HP before shattering.			32063			
38	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32081.png	Closed Loop 1	The enemy's Extra DMG Reduction increases by 30% when taking DMG from more than 4m away.			32081			
39	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32082.png	Closed Loop 2	The enemy's Extra DMG Reduction increases by 45% when taking DMG from more than 4m away.			32082			
40	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32083.png	Closed Loop 3	The enemy's Extra DMG Reduction increases by 60% when taking DMG from more than 4m away.			32083			
41	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Dynamic Calibration 1	Th enemy recovers 1% of max HP per second. This effect is reduced from 1% to 0.4% for 2s after taking DMG.			200062	200043		
42	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21132.png	Dynamic Calibration 2	Th enemy recovers 2% of max HP per second. This effect is reduced from 2% to 0.8% within 2s after taking DMG.	94024		200063	200043		
43	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	Dynamic Calibration 3	Th enemy recovers 3% of max HP per second. This effect is reduced from 3% to 1.2% within 2s after taking DMG.	94024		200064	200043		
44	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33031.png	Black Hole 1	The enemy will pull the player in every 16s.			33031			
45	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33032.png	Black Hole 2	The enemy will pull the player in every 12s.	94020		33032			
46	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33033.png	Black Hole 3	The enemy will pull the player in every 8s.			33033			
47	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	Flash 1	The enemy will teleport toward the target every 10s.	94017		33001			
48	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33002.png	Flash 2	The enemy will teleport toward the target every 10s.			33002			
49	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33003.png	Flash 3	The enemy will teleport toward the target every 10s.			33003			
50	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	Freeze	Each attack has a 30% chance to deal an additional 10% Ice DMG and freeze the target for 1s.			33061			
51	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Immovable	Enemies will not be stunned.			32001			
52	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	Penetration	Each time the enemy hits the player, player loses 3% DEF for 10s, stacking up to 10 times.	94023		32121			
53	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	Agile	The enemy's Movement Speed is increased.	94012		110010			
54	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	Blessing	Extra DMG Bonus of other enemies around the enemy increases by 20%.	94013		32091			
55	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32042.png	Bomb	The enemy will explode and deal Physical DMG equal to 45% of its ATK to nearby units before it dies.			32041			
56	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	Agile	The enemy's Movement Speed is increased.			110010			
57	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	Blessing	Extra DMG Bonus of other enemies around the enemy increases by 20%.			32091			
58	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11012.png	Assault 2	ATK of enemies in Simulated Battle increases by 20%.			11012			
59	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	Barrier 2	Enemies have shields that absorb up to 25% of max HP before shattering.			32062			
60	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32072.png	Radiation 2	The enemy will deal Physical DMG equal to 2% of its ATK to nearby targets per second.			32072			
61	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	Flash 1	The enemy will teleport toward the target every 10s.			33001			
62	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32022.png	Shield 2	Every 8s, enemies will gain a shield equal to 25% of max HP for 3s.			32022			
63	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32151.png	Lightning Mine	Enemy attacks plant a bomb on their target that detonates after some time, dealing Physical DMG equal to 45% of their ATK.			32151			
64	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33032.png	Black Hole 2	The enemy will pull the player in every 12s.			33032			
65	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32023.png	Shield 3	Every 8s, enemies will gain a shield equal to 35% of max HP for 3s.			32023			
66	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Lightning Shield	Every time the enemy gets hit, there is a 10% chance to call down a lightning strike upon the attacker (5s cooldown), dealing Lightning DMG equal to 20% of its ATK.			32131			
67	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	Penetration	Each time the enemy hits the player, player loses 3% DEF for 10s, stacking up to 10 times.			32121			
68	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32013.png	Recovery 3	The enemy will recover 3% of max HP per second.			32013			
69	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	Add-on 1	Attack Add-on			200021			
70	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Add-on 2	HP Add-on			200022			
71	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Coordinated Battle	All team members enter the battle. You may choose to control any character at any time.			200023			
72	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Lone Wolf Tactic	Cooldown of switching between members in Special Dispatch Zone is extended.\nTeam members become enhanced as they stay in the battle longer. This effect is reset each time a new player is switched into battle.			95014	95015	95016	
73	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33101.png	Deterioration 1	Damage dealt also reduces target's healing received by 50% for 3s.			33101			
74	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33102.png	Deterioration 2	Damage dealt also reduces target's healing received by 60% for 4s.			33102			
75	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33103.png	Deterioration 3	Damage dealt also reduces target's healing received by 70% for 5s.			33103			
76	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Physical DMG Boost I	Increases Physical DMG by 10%,			200024			
77	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Fire DMG Boost I	Increases Fire DMG by 10%,			200025			
78	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	Ice DMG Boost I	Increases Ice DMG by 10%,			200026			
