Key	Value	Comment
MineralId	96002	Ore Item id
MinerId	96003	Miner item id
InitMinerCount	0	Initial Miners
MinerEfficiency	10	Miner efficiency
MinerGrowRate	50	Miner growth rate (percentage)
InitElectricEnergy	20	Initial power
InitEndurance	18	Initial stamina
SetAssistCharacterCondition	94030	Set support criteria
SetAssistCharacterInterval	120	Support character setting interval (sec)
RefreshAssistCharacterInterval	30	Support character refresh interval (sec)
SetAssistCharacterRewardItem	1	Support character reward item
SetAssistCharacterRewardInterval	60	Support character reward growth interval (min)
SetAssistCharacterRewardValue	1000	Single support character reward quantity
LendCharacterRewardItem	1	Loan character reward item
SingleLendCharacterRewardValue	1000	Single loan reward quantity
MaxLendCharacterRewardValue	50000	Max loan reward
MaxElectricTeamMemberCount	3	Max power team size
MaxPreTeamCount	6	Default team max size
DailyMaxBorrowCharacterCount	6	Daily character borrow limit
UnGetRewardMail	62001	Unclaimed rewards mail
ResultMail	62002	Results mail
FriendAssistCount	5	Friend support quantity
GuildAssistCount	5	Guild support quantity
ShopSkipId	15004	Shop redirect id
BatteryItemId	96005	Battery item id
UiStrongholdAnimationCloseTime	5	Closing countdown for pop-up before battle (s)
TipStartActivityMailId	62003	Battle Start Reminder
TipLastDayMailId	62004	Battle Termination Reminder
MaintainChapterCondition	95220	Maintenance Battle Unlock Condition
