Id	OpenTimeId	OneCycleSeconds	AutoBeginSeconds	FightContinueSeconds	DistributionId[1]	DistributionId[2]	DistributionId[3]	IsNoPrize
1	2160020	1209600	345600	864000	1	2	3	
3	2160040	1209600	345600	864000	1	2	3	
4	2160050	1209600	345600	864000	1	2	3	
5	2160070	1209600	345600	864000	1	2	3	
7	2160080	1209600	345600	864000	1	2	3	
8	2160092	1209600	345600	864000	1	2	3	
10	2160110	1209600	345600	864000	1	2	3	
11	2160133	1209600	345600	864000	1	2	3	
13	2160140	1209600	345600	864000	1	2	3	
19	2160172	1209600	345600	864000	1	2	3	
