Id	Position	FightSkillId	UnlockStar	Name	Description	Icon
10101	0	812025	1	Type 10 Blade Slash - I	Deals DMG to surrounding targets and launches waves of blade energy all around	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10102	1	812022	1	Sundering Edge I	Thrusts the enemy forward and adds armor penetration effect	Assets/Product/Texture/Image/IconSkill/hongse.png
10103	2	812023	1	Shattering Slash I	Heavily slashes forward to deal area damage	Assets/Product/Texture/Image/IconSkill/lanse.png
10104	3	812024	1	Splinter Blade I	Launches waves of blade energy and regenerates a small amount of Energy	Assets/Product/Texture/Image/IconSkill/huangse.png
10105	0	812034	5	Type 10 Blade Slash - II	Deals DMG to surrounding targets, launches waves of blade energy all around, and regenerates HP	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10106	1	812031	2	Sundering Edge II	Thrusts the enemy forward to deal massive damage.	Assets/Product/Texture/Image/IconSkill/hongse.png
10107	2	812032	3	Shattering Slash II	Heavily slashes forward to deal area damage and stun the enemy for a short duration	Assets/Product/Texture/Image/IconSkill/lanse.png
10108	3	812033	4	Splinter Blade II	Launches waves of blade energy with armor penetration	Assets/Product/Texture/Image/IconSkill/huangse.png
10201	0	813039	1	Strangling Thorn I	Deals 3 AOE hits	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10202	1	813036	1	Swift Thrust I	Dash, dealing damage and regenerating HP	Assets/Product/Texture/Image/IconSkill/hongse.png
10203	2	813037	1	Blooming Rose I	Deals area damage	Assets/Product/Texture/Image/IconSkill/lanse.png
10204	3	813038	1	Tempest Blade I	Deals area damage to the targets around in a large area, increases ATK, and regenerates Energy	Assets/Product/Texture/Image/IconSkill/huangse.png
10205	0	813043	5	Strangling Thorn II	Deals area damage 3 times, and the third hit inflicts stun	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10206	1	813040	2	Swift Thrust II	Charges forward and deals damage	Assets/Product/Texture/Image/IconSkill/hongse.png
10207	2	813041	3	Blooming Rose II	Deals an area damage and Stuns enemies for 0.1s	Assets/Product/Texture/Image/IconSkill/lanse.png
10208	3	813042	4	Tempest Blade II	Deals massive area damage to the surroundings	Assets/Product/Texture/Image/IconSkill/huangse.png
10301	0	831030	1	Devastating Strike I	Makes five continuous slash	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10302	1	831033	1	Mass Corrosion I	Deals an area damage and adds armor penetration effect	Assets/Product/Texture/Image/IconSkill/hongse.png
10303	2	831034	1	Constraining Field I	Drags the enemies caught in a cone area close, deals damage to them and adds stun effect	Assets/Product/Texture/Image/IconSkill/lanse.png
10304	3	831035	1	Shadow Ward I	Increases ATK while obtaining energy, but will take Extra Damage	Assets/Product/Texture/Image/IconSkill/huangse.png
10305	0	831036	5	Devastating Strike II	Makes five continuous slash, and each slash has a stun effect	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10306	1	831037	2	Mass Corrosion II	Deals area damage and regenerates HP	Assets/Product/Texture/Image/IconSkill/hongse.png
10307	2	831038	3	Constraining Field II	Drags the enemies caught in a cone area close, deals damage to them and reduces enemy's energy by a small amount	Assets/Product/Texture/Image/IconSkill/lanse.png
10308	3	831039	4	Shadow Ward II	Significantly increases own ATK.	Assets/Product/Texture/Image/IconSkill/huangse.png
10401	0	821519	1	Summon Explosives I	Summons self-destruction bugs. Each bug can blow up themselves to deal damage in a small area.	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10402	1	821516	1	Blasting Bomb I	Deals an area damage and creates a burning field that makes enemies caught inside take damage over time.	Assets/Product/Texture/Image/IconSkill/hongse.png
10403	2	821517	1	Resonating Barrage I	Deals multiple hits and recovers energy	Assets/Product/Texture/Image/IconSkill/lanse.png
10404	3	821518	1	High-voltage Beam I	Riot jumps back, dealing damage	Assets/Product/Texture/Image/IconSkill/huangse.png
10405	0	821524	5	Summon Explosives II	Summons self-destruction bugs. Each bug can blow up themselves to deal damage to a single target.	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
10406	1	821521	2	Blasting Bomb II	Deals an area damage and slows down the enemy. Also creates a burning field that makes enemies caught inside take damage over time.	Assets/Product/Texture/Image/IconSkill/hongse.png
10407	2	821522	3	Resonating Barrage II	Deals multiple hits	Assets/Product/Texture/Image/IconSkill/lanse.png
10408	3	821523	4	High-voltage Beam II	Riot jumps back, dealing damage and stunning enemies 	Assets/Product/Texture/Image/IconSkill/huangse.png
50000	0	900308	1	Dismantle	Deals damage 2 times	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50001	0	900904	1	Sentry Ward	Deals area damage in a circular area	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
