Id	Type	Career	NpcId	ModelId	EnergyCost	LevelTemplateId	StarTemplateId	AbilityRateMonster	AbilityRateHp	AbilityRateAttack	Name	Description	HeadIcon	SkillIds[0]	SkillIds[1]	SkillIds[2]	SkillIds[3]	SkillIds[4]	SkillIds[5]	SkillIds[6]	SkillIds[7]	SkillIds[8]	RatingIcon
15000001	1	1	8120900	Me1SwordMd002001	0	1	1	1	0.6	15	Musashi IX	Durable Fighter	Assets/Product/Texture/Image/RoleCharacter/WuzangjiuxingNormal01.png	10101	10102	10103	10104	10105	10106	10107	10108		
15000002	1	2	8130000	Mb1SwordMd030001	0	1	1	1	0.6	17	Roseblade		Assets/Product/Texture/Image/RoleCharacter/BalaswordNomal.png	10201	10202	10203	10204	10205	10206	10207	10208		
15000003	1	4	8215000	Mb1BraveMd010011	0	1	1	1	0.6	20	Riot		Assets/Product/Texture/Image/RoleCharacter/Mb1BraveMd010011.png	10401	10402	10403	10404	10405	10406	10407	10408		
15000004	1	3	8310000	Mb1XiuMd010001	0	1	1	1	0.6	17	Camu		Assets/Product/Texture/Image/RoleCharacter/KamuNomal01.png	10301	10302	10303	10304	10305	10306	10307	10308		
15000005	0	1	901900	Mo1ShouhuzheMd000001	1	2	2	1	0.6	15	Shieldbearer		Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	50005									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon05.png
15000006	0	1	901300	Me1XunshoushiMd000001	2	2	2	1	0.6	15	Tamer		Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	50002									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon04.png
15000007	0	1	902100	Me1YuandingMd000001	3	2	2	1	0.6	15	Gardener		Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	50006									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon03.png
15000008	0	1	906500	Mo1WulunsixingMd000001	8	2	2	1	0.6	15	Ballwheel IV		Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	50018									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon02.png
15000009	0	1	904500	Me1JidijibingMd000001	16	2	2	1	0.6	15	Polar Soldier		Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	50015									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon01.png
15000010	0	2	900300	Mo1XiulijigongMd000001	1	2	2	1	0.6	15	Repairer		Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	50000									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon05.png
15000011	0	2	902500	Mo1LangrensixingMd000001	2	2	2	1	0.6	15	Ronin IV		Assets/Product/Texture/Image/RoleCharacter/LangrenNormal01.png	50007									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon04.png
15000012	0	2	906400	Mo1LishiliuxingMd000001	3	2	2	1	0.6	15	Blubber VI		Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	50017									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon03.png
15000013	0	2	902200	Me1YijiwajuezheMd000001	8	2	2	1	0.6	15	Excavator		Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	50014									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon02.png
15000014	0	2	907000	Me1ZhizunMd000001	16	2	2	1	0.6	15	Prime		Assets/Product/Texture/Image/RoleCharacter/ZhizunNormal01.png	50019									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon01.png
15000015	0	4	900900	Mo1DimianjianshiqiMd000001	1	2	2	1	0.6	16.5	Ground Monitor		Assets/Product/Texture/Image/RoleCharacter/Mo1DimianjianshiqiMd000001.png	50001									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon05.png
15000016	0	4	906200	Me1YihehuolidanyuanMd000001	2	2	2	1	0.6	16.5	Hetero Fire Unit		Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	50016									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon04.png
15000017	0	4	903700	Me1YijikantanzheMd000001	3	2	2	1	0.6	16.5	Explorer		Assets/Product/Texture/Image/RoleCharacter/Me1YijikantanzheMd000001.png	50009									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon03.png
15000018	0	4	902600	Mo1FangshengrongyuanMd000001	8	2	2	1	0.6	16.5	Bio-Salamander		Assets/Product/Texture/Image/RoleCharacter/Mo1FangshengrongyuanMd000001.png	50013									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon02.png
15000019	0	4	904400	Me1ZilujingweiMd000001	16	2	2	1	0.6	16.5	Terrapod		Assets/Product/Texture/Image/RoleCharacter/Me1ZilujingweiMd000001.png	50010									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon01.png
15000020	0	3	901500	Mo1YeyaMd000001	1	2	2	1	0.6	15	Hydraulic		Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	50003									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon05.png
15000021	0	3	901800	Mo1ZhixingzheMd000001	2	2	2	1	0.6	15	Executor		Assets/Product/Texture/Image/RoleCharacter/Mo1ZhixingzheMd000001.png	50004									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon04.png
15000022	0	3	903400	Me1JinweiMd000001	8	2	2	1	0.6	15	Royal guard		Assets/Product/Texture/Image/RoleCharacter/JinweiNormal01.png	50012									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon02.png
15000023	0	3	903600	Me1FenjiezheMd000001	3	2	2	1	0.6	15	Deconstructor		Assets/Product/Texture/Image/RoleCharacter/FenjiezheNormal01.png	50008									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon03.png
15000024	0	3	903300	Me1XinshiMd000001	16	2	2	1	0.6	15	Envoy		Assets/Product/Texture/Image/RoleCharacter/Me1XinshiMd000001.png	50011									Assets/Product/Texture/Atlas/UiPokemon/UiPokemonIcon01.png
