Id	TagLabel
1	Attacker
2	Tank
3	Support
4	Vanguard
5	Physical
6	Fire
7	Physical
8	Lightning
9	Dark
10	Ice
11	Engineering Force
12	Purifying Force
13	The Forsakens
14	Gray Raven
15	Ascendant
16	Strike Hawk
17	Forest Guard
18	Akdilek
19	WGAA
20	Unclassified
21	Cerberus
22	Dead Zone
23	KCC
24	Archaeological Team
25	Desire to win
26	Faith
27	Remember
28	Gray Raven's Blade
29	Bike master
30	Precise calculation
31	Agent
32	F.O.S. graduate
33	Foolish-looking Wise Man
34	Humanoid hybrid leader
35	Expression and posture
36	Rich painter
37	Holy
38	Sleepy
39	Robot Making
40	Mew Mew
41	Valkyrie
42	The Tempest
43	Great appetite
44	Will of Kowloong
45	Curiosity
46	Robot Dance
47	Brute Strength
48	Performer
49	Amplifier
