Id	InitModelName	AnimationId[1]	AnimationId[2]	AnimationId[3]	AnimationId[4]	AnimationId[5]	AnimationId[6]	AnimationId[7]	AnimationId[8]	AnimationId[9]	AnimationId[10]	AnimationId[11]	AnimationId[12]	AnimationId[13]	AnimationId[14]	AnimationId[15]	AnimationId[16]	AnimationId[17]	InitAnim
1011	QR3LiangMd010011MZ	101101	101102	101103	101104	101105	101106	101107	101108	101109	101110	101111	101112	101113	101114	101115			Ready01
1012	QR3LiangMd010011MZ	101201	101202	101203	101204	101205	101206	101207	101208	101209	101210	101211	101212	101213	101214	101215			Ready01
1021	QR2WanshiMd010011MZ	102101	102102	102103	102104	102105	102106	102107	102108	102109	102110	102111	102112	102113					Ready01
1022	QR2WanshiMd010011MZ	102201	102202	102203	102204	102205	102206	102207	102208	102209	102210	102211	102212	102213	102214				Ready01
1031	QR2LuolanMd010011MZ	103101	103102	103103	103104	103105	103106	103107	103108	103109	103110	103111	103112	103113					Ready01
1032	QR2LuolanMd010011MZ	103201	103202	103203	103204	103205	103206	103207	103208	103209	103210	103211	103212	103213	103214	103215	103216		Ready01
1041	QR2KamuMd010011MZ	104101	104102	104103	104104	104105	104106	104107	104108	104109	104110	104111	104112	104113	104114	104115			Ready01
1042	QR2KamuMd010011MZ	104201	104202	104203	104204	104205	104206	104207	104208	104209	104210	104211	104212	104213	104214	104215			Ready01
1051	QR2DubianMd010011MZ	105101	105102	105103	105104	105105	105106	105107	105108	105109	105110	105111	105112	105113					Ready01
1052	QR2DubianMd010011MZ	105201	105202	105203	105204	105205	105206	105207	105208	105209	105210	105211	105212	105213	105214				Ready01
1061	QR3KuluomuMd010011MZ	106101	106102	106103	106104	106105	106106	106107	106108	106109	106110	106111	106112	106113	106114				Ready01
1062	QR3KuluomuMd010011MZ	106201	106202	106203	106204	106205	106206	106207	106208	106209	106210	106211	106212	106213					Ready01
1071	QR1ChangyuMd010011MZ	107101	107102	107103	107104	107105	107106	107107	107108	107109	107110	107111	107112	107113	107114	107115	107116	107117	Ready01
1072	QR1ChangyuMd010011MZ	107201	107202	107203	107204	107205	107206	107207	107208	107209	107210	107211	107212	107213					Ready01
1081	QR2ShenweiMd010011MZ	108101	108102	108103	108104	108105	108106	108107	108108	108109	108110	108111	108112	108113	108114	108115			Ready01
1082	QR2ShenweiMd010011MZ	108201	108202	108203	108204	108205	108206	108207	108208	108209	108210	108211	108212	108213	108214				Ready01
1091	QR4KalieninaMd010011MZ	109101	109102	109103	109104	109105	109106	109107	109108	109109	109110	109111	109112	109113	109114	109115	109116		Ready01
1092	QR4KalieninaMd010011MZ	109201	109202	109203	109204	109205	109206	109207	109208	109209	109210	109211	109212	109213	109214				Ready01
1101	QR2PulaoMd010011MZ	110101	110102	110103	110104	110105	110106	110107	110108	110109	110110	110111	110112	110113	110114	110115			Ready01
1102	QR2PulaoMd010011MZ	110201	110202	110203	110204	110205	110206	110207	110208	110209	110210	110211	110212	110213	110214	110215	110216		Ready01
1111	QR3LuosaitaMd010011MZ	111101	111102	111103	111104	111105	111106	111107	111108	111109	111110	111111	111112	111113	111114	111115			Ready01
1112	QR3LuosaitaMd010011MZ	111201	111202	111203	111204	111205	111206	111207	111208	111209	111210	111211	111212	111213	111214	111215			Ready01
1121	QR3LunaMd010011MZ	112101	112102	112103	112104	112105	112106	112107	112108	112109	112110	112111	112112	112113	112114	112115	112116	112117	Ready01
1122	QR3LunaMd010011MZ	112201	112202	112203	112204	112205	112206	112207	112208	112209	112210	112211	112212	112213	112214	112215			Ready01
1131	QR3BiankaMd010011MZ	113101	113102	113103	113104	113105	113106	113107	113108	113109	113110	113111	113112	113113	113114	113115	113116		Ready01
1132	QR3BiankaMd010011MZ	113201	113202	113203	113204	113205	113206	113207	113208	113209	113210	113211	113212	113213	113214	113215	113216	113217	Ready01
1141	QR4SailinnaMd010011MZ	114101	114102	114103	114104	114105	114106	114107	114108	114109	114110	114111	114112	114113	114114				Ready01
1142	QR4SailinnaMd010011MZ	114201	114202	114203	114204	114205	114206	114207	114208	114209	114210	114211	114212	114213					Ready01
1151	QR2QuMd010011MZ	115101	115102	115103	115104	115105	115106	115107	115108	115109	115110	115111	115112	115113	115114				Ready01
1152	QR2QuMd010011MZ	115201	115202	115203	115204	115205	115206	115207	115208	115209	115210	115211	115212	115213	115214	115215	115216		Ready01
1161	QR2SufeiyaMd010011MZ	116101	116102	116103	116104	116105	116106	116107	116108	116109	116110	116111	116112	116113					Ready01
1162	QR2SufeiyaMd010011MZ	116201	116202	116203	116204	116205	116206	116207	116208	116209	116210	116211	116212						Ready01
1171	QR4LuxiyaMd010011MZ	117101	117102	117103	117104	117105	117106	117107	117108	117109	117110	117111	117112	117113	117114	117115	117116	117117	Ready01
1172	QR4LuxiyaMd010011MZ	117201	117202	117203	117204	117205	117206	117207	117208	117209	117210	117211	117212	117213					Ready01
1181	QR2AilaMd010011MZ	118101	118102	118103	118104	118105	118106	118107	118108	118109	118110	118111	118112	118113	118114	118115	118116		Ready01
1182	QR2AilaMd010011MZ	118201	118202	118203	118204	118205	118206	118207	118208	118209	118210	118211	118212	118213					Ready01
1191	QR4LifuMd010011MZ	119101	119102	119103	119104	119105	119106	119107	119108	119109	119110	119111	119112	119113	119114	119115			Ready01
1192	QR4LifuMd010011MZ	119201	119202	119203	119204	119205	119206	119207	119208	119209	119210	119211	119212						Ready01
1201	QR4YongyechaoMd010011MZ	120101	120102	120103	120104	120105	120106	120107	120108	120109	120110	120111	120112	120113	120114	120115	120116		Ready01
1202	QR4YongyechaoMd010011MZ	120201	120202	120203	120204	120205	120206	120207	120208	120209	120210	120211	120212	120213					Ready01
1211	QR3WeilaMd010011MZ	121101	121102	121103	121104	121105	121106	121107	121108	121109	121110	121111	121112	121113	121114	121115			Ready01
1212	QR3WeilaMd010011MZ	121201	121202	121203	121204	121205	121206	121207	121208	121209	121210	121211	121212	121213	121214	121215			Ready01
1221	QR3LuxiyaMd010011MZ	122101	122102	122103	122104	122105	122106	122107	122108	122109	122110	122111	122112	122113	122114	122115	122116	122117	Ready01
1222	QR3LuxiyaMd010011MZ	122201	122202	122203	122204	122205	122206	122207	122208	122209	122210	122211	122212	122213	122214	122215	122216		Ready01
1231	QR0WeiliyeMd010011MZ	123101	123102	123103	123104	123105	123106	123107	123108	123109	123110	123111	123112	123113	123114	123115	123116		Ready01
1232	QR0WeiliyeMd010011MZ	123201	123202	123203	123204	123205	123206	123207	123208	123209	123210	123211	123212	123213	123214	123215			Ready01
1241	QR0TaieMd010011MZ	124101	124102	124103	124104	124105	124106	124107	124108	124109	124110	124111	124112	124113	124114	124115			Ready01
1242	QR0TaieMd010011MZ	124201	124202	124203	124204	124205	124206	124207	124208	124209	124210	124211	124212	124213					Ready01
1251	QR2TwentyoneMd010011MZ	125101	125102	125103	125104	125105	125106	125107	125108	125109	125110	125111	125112	125113					Ready01
1252	QR2TwentyoneMd010011MZ	125201	125202	125203	125204	125205	125206	125207	125208	125209	125210	125211	125212						Ready01
1261	QR2HakamaMd010011MZ	126101	126102	126103	126104	126105	126106	126107	126108	126109	126110	126111	126112	126113	126114	126115	126116		Ready01
1262	QR2HakamaMd010011MZ	126201	126202	126203	126204	126205	126206	126207	126208	126209	126210	126211	126212	126213					Ready01
1271	QR1SailikaMd010011MZ	127101	127102	127103	127104	127105	127106	127107	127108	127109	127110	127111	127112	127113	127114	127115			Ready01
1272	QR1SailikaMd010011MZ	127201	127202	127203	127204	127205	127206	127207	127208	127209	127210	127211	127212	127213	127214	127215	127216		Ready01
1281	QR1NuoketiMd010011MZ	128101	128102	128103	128104	128105	128106	128107	128108	128109	128110	128111	128112	128113					Ready01
1282	QR1NuoketiMd010011MZ	128201	128202	128203	128204	128205	128206	128207	128208	128209	128210	128211	128212	128213	128214				Ready01
1291	QR1AolajiangMd010011MZ	129101	129102	129103	129104	129105	129106	129107	129108	129109	129110	129111	129112	129113	129114	129115	129116	129117	Ready01
1292	QR1AolajiangMd010011MZ	129201	129202	129203	129204	129205	129206	129207	129208	129209	129210	129211	129212	129213	129214	129215	129216		Ready01
2011	QR3LiangMd010011MZ	201101	201102	201103	201104	201105	201106	201107	201108	201109	201110	201111	201112	201113	201114	201115			Ready01
2012	QR3LiangMd010011MZ	201201	201202	201203	201204	201205	201206	201207	201208	201209	201210	201211	201212	201213	201214				Ready01
2021	QR2WanshiMd010011MZ	202101	202102	202103	202104	202105	202106	202107	202108	202109	202110	202111	202112	202113	202114	202115			Ready01
2022	QR2WanshiMd010011MZ	202201	202202	202203	202204	202205	202206	202207	202208	202209	202210	202211	202212	202213	202214				Ready01
2031	QR2LuolanMd010011MZ	203101	203102	203103	203104	203105	203106	203107	203108	203109	203110	203111	203112	203113	203114	203115			Ready01
2032	QR2LuolanMd010011MZ	203201	203202	203203	203204	203205	203206	203207	203208	203209	203210	203211	203212	203213	203214				Ready01
2041	QR2KamuMd010011MZ	204101	204102	204103	204104	204105	204106	204107	204108	204109	204110	204111	204112	204113	204114	204115			Ready01
2042	QR2KamuMd010011MZ	204201	204202	204203	204204	204205	204206	204207	204208	204209	204210	204211	204212	204213	204214				Ready01
2051	QR2DubianMd010011MZ	205101	205102	205103	205104	205105	205106	205107	205108	205109	205110	205111	205112	205113	205114				Ready01
2052	QR2DubianMd010011MZ	205201	205202	205203	205204	205205	205206	205207	205208	205209	205210	205211	205212	205213	205214				Ready01
2061	QR3KuluomuMd010011MZ	206101	206102	206103	206104	206105	206106	206107	206108	206109	206110	206111	206112	206113	206114				Ready01
2062	QR3KuluomuMd010011MZ	206201	206202	206203	206204	206205	206206	206207	206208	206209	206210	206211	206212	206213	206214				Ready01
2071	QR1ChangyuMd010011MZ	207101	207102	207103	207104	207105	207106	207107	207108	207109	207110	207111	207112	207113	207114				Ready01
2072	QR1ChangyuMd010011MZ	207201	207202	207203	207204	207205	207206	207207	207208	207209	207210	207211	207212	207213	207214				Ready01
2081	QR2ShenweiMd010011MZ	208101	208102	208103	208104	208105	208106	208107	208108	208109	208110	208111	208112	208113	208114				Ready01
2082	QR2ShenweiMd010011MZ	208201	208202	208203	208204	208205	208206	208207	208208	208209	208210	208211	208212	208213					Ready01
