Id	GroupId	StartRange	EndRange	MailId	RewardShowId
1	2	1	15	18001	404001
2	2	16	22	18002	404002
3	2	23	29	18003	404003
4	2	30	38	18004	404004
5	2	39	50	18005	404005
6	2	51	100	18006	404007
7	4	1	15	18001	404001
8	4	16	22	18002	404002
9	4	23	29	18003	404003
10	4	30	38	18004	404004
11	4	39	50	18005	404005
12	4	51	100	18006	404007
13	6	1	15	18001	404001
14	6	16	22	18002	404002
15	6	23	29	18003	404003
16	6	30	38	18004	404004
17	6	39	50	18005	404005
18	6	51	100	18006	404007
19	8	1	15	18001	404001
20	8	16	22	18002	404002
21	8	23	29	18003	404003
22	8	30	38	18004	404004
23	8	39	50	18005	404005
24	8	51	100	18006	404007
25	10	1	15	18001	404001
26	10	16	22	18002	404002
27	10	23	29	18003	404003
28	10	30	38	18004	404004
29	10	39	50	18005	404005
30	10	51	100	18006	404007
31	12	1	15	18001	404001
32	12	16	22	18002	404002
33	12	23	29	18003	404003
34	12	30	38	18004	404004
35	12	39	50	18005	404005
36	12	51	100	18006	404007
