Id	OpenCondition[1]	GroupId	Stage	InitCoin	CoinId	FinishAddCoin	InitFunc[1]	InitFunc[2]	InitFunc[3]	InitFunc[4]	InitFunc[5]	BossId	GridCount	TeamGrid[1]	TeamGrid[2]	TeamGrid[3]	TeamGrid[4]	CardMaxCount	AddCoin	ShopCardId	TestRoleGroup[1]	TestRoleGroup[2]	TestRoleGroup[3]	TestRoleGroup[4]	TaskId	Perfab	StageName	RewardShow	RewardId	IsCanAutoClear
1	0	1	1	20	55	10	0	0	0	0	101	2	10	5				3	10	1	1				70001	Assets/Product/Scene/ScenePrefab/ScenePursuit04.prefab	DP-1	404006	404006	1
2	860001	1	1	20	55	10	0	0	0	0	101	3	12	5				3	10	2	1				70002	Assets/Product/Scene/ScenePrefab/ScenePursuit05.prefab	DP-2	404006	404006	1
3	860002	1	1	20	55	10	0	0	0	101	110	5	12	3	7			3	10	3	1	1			70003	Assets/Product/Scene/ScenePrefab/ScenePursuit06.prefab	DP-3	404006	404006	1
4	0	2	2	20	55	0	1	2	3	0	101	7	42	4	19	25	38	3	10	101	2	2	2	2	0	Assets/Product/Scene/ScenePrefab/ScenePursuit01.prefab	Generic Operation			1
5	860003	2	3	20	55	0	1	2	3	0	101	102	42	4	19	25	38	3	10	101	1	1	1	1	0	Assets/Product/Scene/ScenePrefab/ScenePursuit03.prefab	Elite Operation			0
6	0	3	1	20	55	10	0	0	0	0	102	2	10	5				3	10	1	1				70004	Assets/Product/Scene/ScenePrefab/ScenePursuit04.prefab	DP-1	404006	404006	1
7	860004	3	1	20	55	10	0	0	0	0	102	3	12	5				3	10	2	1				70005	Assets/Product/Scene/ScenePrefab/ScenePursuit05.prefab	DP-2	404006	404006	1
8	860005	3	1	20	55	10	0	0	0	102	110	5	12	3	7			3	10	3	1	1			70006	Assets/Product/Scene/ScenePrefab/ScenePursuit06.prefab	DP-3	404006	404006	1
9	0	4	2	20	55	0	4	5	6	0	102	9	42	4	19	25	38	3	10	101	2	2	2	2	0	Assets/Product/Scene/ScenePrefab/ScenePursuit01.prefab	Generic Operation			1
10	860006	4	3	20	55	0	4	5	6	0	102	104	42	4	19	25	38	3	10	101	1	1	1	1	0	Assets/Product/Scene/ScenePrefab/ScenePursuit03.prefab	Elite Operation			0
11	0	5	1	20	55	10	0	0	0	0	103	2	10	5				3	10	1	1				70007	Assets/Product/Scene/ScenePrefab/ScenePursuit04.prefab	DP-1	404006	404006	1
12	860007	5	1	20	55	10	0	0	0	0	103	3	12	5				3	10	2	1				70008	Assets/Product/Scene/ScenePrefab/ScenePursuit05.prefab	DP-2	404006	404006	1
13	860008	5	1	20	55	10	0	0	0	103	110	5	12	3	7			3	10	3	1	1			70009	Assets/Product/Scene/ScenePrefab/ScenePursuit06.prefab	DP-3	404006	404006	1
14	0	6	2	20	55	0	7	8	9	0	103	11	42	4	19	25	38	3	10	101	2	2	2	2	0	Assets/Product/Scene/ScenePrefab/ScenePursuit01.prefab	Generic Operation			1
15	860009	6	3	20	55	0	7	8	9	0	103	106	42	4	19	25	38	3	10	101	1	1	1	1	0	Assets/Product/Scene/ScenePrefab/ScenePursuit03.prefab	Elite Operation			0
16	0	7	1	20	55	10	0	0	0	0	104	2	10	5				3	10	1	1				70010	Assets/Product/Scene/ScenePrefab/ScenePursuit04.prefab	DP-1	404006	404006	1
17	860010	7	1	20	55	10	0	0	0	0	104	3	12	5				3	10	2	1				70011	Assets/Product/Scene/ScenePrefab/ScenePursuit05.prefab	DP-2	404006	404006	1
18	860011	7	1	20	55	10	0	0	0	104	110	5	12	3	7			3	10	3	1	1			70012	Assets/Product/Scene/ScenePrefab/ScenePursuit06.prefab	DP-3	404006	404006	1
19	0	8	2	20	55	0	10	11	12	0	104	6	42	4	19	25	38	3	10	101	2	2	2	2	0	Assets/Product/Scene/ScenePrefab/ScenePursuit01.prefab	Generic Operation			1
20	860012	8	3	20	55	0	10	11	12	0	104	101	42	4	19	25	38	3	10	101	1	1	1	1	0	Assets/Product/Scene/ScenePrefab/ScenePursuit03.prefab	Elite Operation			0
21	0	9	1	20	55	10	0	0	0	0	102	2	10	5				3	10	1	1				70013	Assets/Product/Scene/ScenePrefab/ScenePursuit04.prefab	DP-1	404006	404006	1
22	860013	9	1	20	55	10	0	0	0	0	102	3	12	5				3	10	2	1				70014	Assets/Product/Scene/ScenePrefab/ScenePursuit05.prefab	DP-2	404006	404006	1
23	860014	9	1	20	55	10	0	0	0	102	110	5	12	3	7			3	10	3	1	1			70015	Assets/Product/Scene/ScenePrefab/ScenePursuit06.prefab	DP-3	404006	404006	1
24	0	10	2	20	55	0	13	14	15	0	102	7	42	4	19	25	38	3	10	101	2	2	2	2	0	Assets/Product/Scene/ScenePrefab/ScenePursuit01.prefab	Generic Operation			1
