Id	ActivityId	ChapterId	StageType	UnlockPosition	UnlockMaxEnergy	StageId	UnlockDesc	StageMonsterId[0]	StageMonsterId[1]	StageMonsterId[2]	StageMonsterId[3]	StageMonsterId[4]	StageMonsterId[5]	StageBg	BossHeadIcon	IsBossStage	ShowAbility[0]	ShowAbility[1]	ShowAbility[2]	ShowAbility[3]	ShowAbility[4]	ShowAbility[5]
1	1	1	1	2		30211001	Unlock the 2nd slot	100101	100101					Assets/Product/Texture/Image/UiPokemon/UiPokemonBg01.png								
2	1	1	1		2	30211002	Team cost limit increased to 2		100201			100202		Assets/Product/Texture/Image/UiPokemon/UiPokemonBg01.png								
3	1	1	1		3	30211003	Team cost limit increased to 3	100301		100302				Assets/Product/Texture/Image/UiPokemon/UiPokemonBg01.png								
4	1	1	1	3		30211004	Unlock the 3rd slot		100401			100402		Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
5	1	1	1		5	30211005	Team cost limit increased to 5	100501				100502		Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
6	1	1	1		6	30211006	Team cost limit increased to 6		100601		100602		100603	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
7	1	1	1		7	30211007	Team cost limit increased to 7	100701	100702	100703				Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png								
8	1	1	1	4		30211008	Unlock the 4th slot		100801		100802	100803		Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png	Assets/Product/Texture/Image/UiPokemon/UiPokemonStageBoss01.png	1						
9	1	1	1		9	30211009	Team cost limit increased to 9				100901	100902	100903	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png								
10	1	1	1		10	30211010	Team cost limit increased to 10		101001		101002	101003	101004	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
11	1	2	1		11	30211011	Team cost limit increased to 11	101101		101102	101103		101104	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
12	1	2	1		12	30211012	Team cost limit increased to 12		101201		101202	101203	101204	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
13	1	2	1	5		30211013	Unlock the 5th slot	101301	101302	101303		101304		Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png	Assets/Product/Texture/Image/UiPokemon/UiPokemonStageBoss03.png	1						
14	1	2	1		14	30211014	Team cost limit increased to 14	101401		101402	101403	101404	101405	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png								
15	1	2	1		15	30211015	Team cost limit increased to 15	101501	101502	101503	101504		101505	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg03.png								
16	1	2	1		16	30211016	Team cost limit increased to 16	101601	101602	101603	101604		101605	Assets/Product/Texture/Image/UiPokemon/UiPokemonBg02.png								
