Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents[1]	TeachingContents[2]	TeachingContents[3]	TeachingContents[4]	TeachingContents[5]	TeachingContents[6]	TeachingContents[7]	TeachingContents[8]	TeachingContents[9]	TeachingContents[10]	BuffSuggestAbility
1	Physical Weakness	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Physical DMG Taken +30%											
2	Fire Weakness	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Fire DMG Taken +30%											
3	Lightning Weakness	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Lightning DMG Taken +30%											
4	Dark Weakness	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Dark DMG Taken +30%											
5	Ice Weakness	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Ice DMG Taken +30%											
6	Physical Resistance	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Physical DMG Taken -30%											
7	Fire Resistance	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Fire DMG Taken -30%											
8	Lightning Resistance	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Lightning DMG Taken -30%											
9	Dark Resistance	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Dark DMG Taken -30%											
10	Ice Resistance	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Ice DMG Taken -30%											
11	buff1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Event - 100 Combo DMG +50%											
12	buff2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Event - Melee DMG +50%											
13	buff3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Event - Ranged DMG +50%											
14	buff4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Event - All Elemental DMG +50%											
10001	<color=#34aff9><size=34>Close Combat</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png		Can only deploy Melee-Type Construct.											
