Id	Normal	Urgency	Critical	NormalTitle	NormalStatus	UrgencyTitle	UrgencyStatus	CriticalTitle	CriticalStatus
30090421	0	6	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30090422	0	4	13	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30090423	0	3	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30090424	0	6	16	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30090425	0	5	13	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150221	0	5	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150222	0	4	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150223	0	3	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150224	0	5	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150225	0	4	15	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
